week.code,Week,AK,AL,AR,AZ,DE,GA,ID,KS,KY,LA,MA,MD,ME,MI,MN,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
201002,01/10/2010,0.73089701,4.35867332,2.439508132,1.190085742,0.374006545,2.579484103,1.692495922,1.212680419,0.838248991,3.66229761,1.064448158,3.182740575,0.61156736,1.095911705,0.369994196,0.766633844,1.699115044,0.66096423,0.354295837,2.911051213,2.848318463,0.915836934,0.7455873402,0.387351222,0.9195402299,1.306019274,0.557553957,0.86993725,0.610820244,0.581655481,3.134865934,0.637561479,2.000358809,1.079467157,1.31667792,0.801131008,1.793767938
201003,01/17/2010,1.212440696,4.911491584,2.546387683,1.41161558,0.828105395,2.874437189,1.967914439,1.36012576,0.868192581,4.402001838,1.244339587,1.922636759,0.434044159,0.887781325,0.601434189,1.041386466,1.96219622,3.020792468,0.173276858,3.02246266,3.294811901,0.934872304,0.7257646449,0.42205582,0.7202216066,1.047588966,0.722195474,1.038328419,0.388349515,1.040826798,2.521698595,0.737147177,2.0409224,1.036407122,1.16315624,1.410153102,1.930734886
201004,01/24/2010,0.87479497,4.855525767,2.272727273,1.303357721,0.290979631,2.670459493,2.940526199,1.507670024,0.776327066,4.061907384,1.112636879,2.743757714,0.689655172,0.895789788,0.407078176,1.098156666,1.788218794,1.681345076,0.111835974,2.458328337,3.192904656,1.096330946,0.7650196519,0.455077363,1.056511057,1.10761862,0.510546823,0.694269124,1.461988304,1.006931777,2.673808727,0.790378007,2.111256956,1.986754967,2.030615433,1.063829787,2.717869718
201005,01/31/2010,1.017293998,4.35234597,2.529550827,1.336933328,0.3339327,3.200773017,2.671579917,2.298561829,1.288588754,5.245669848,1.146403029,2.990695614,0.577832254,0.910504108,0.549922667,1.225438411,2.047432179,2.887537994,0.249615975,1.853322743,4.51230629,1.099404489,0.9228783479,0.711002145,1.126911725,1.14419018,0.662079709,1.229561805,2.97219559,0.998760662,3.205885631,0.658988024,1.832064112,2.561005074,1.733899505,1.313164894,2.813067151
201006,02/07/2010,1.601239669,3.867643857,2.286087524,1.202297907,0.14179369,2.953524125,2.062062062,2.224257491,0.660605664,3.970974746,1.16675568,3.436833373,0.427420681,1.032702238,0.614088955,1.264388818,1.92,4.468546638,0.257629806,2.535110688,3.159065628,1.699501141,0.8509090909,0.732248521,1.225612806,0.932099165,0.596675664,1.005484461,0.279069767,1.333438536,2.657305368,0.66072196,1.67530411,2.692399333,1.316542645,1.536284617,2.715611354
201007,02/14/2010,1.130776794,3.853690398,2.714502658,1.479454596,0.172541287,3.220745389,3.547722591,1.920630112,0.565299319,4.589872668,1.179954442,2.155447016,0.557546794,0.572706935,0.611833953,1.539470505,1.136925358,4.686289698,0.291715286,2.491825459,3.846989785,1.401464072,0.8451365522,0.594465323,1.963048499,0.884342869,0.718984244,1.332760103,1.971326165,0.935043442,2.620529592,0.489326998,1.543949718,3.870788081,1.314523886,1.338499472,2.830856334
201008,02/21/2010,1.231671554,4.186721171,1.878557875,1.413699518,0.201257862,3.168422232,3.142509135,2.08962584,0.525920361,5.259123621,1.078039189,2.278060227,0.413579183,0.948640036,0.506961259,1.422924901,2.098243331,1.595904848,0.103119361,2.283105023,3.646261298,1.718027735,0.8070148211,0.37924392,1.512055578,0.854120708,0.42835429,1.556835146,1.869158879,1.083399985,2.695310034,0.688744221,1.576366587,1.977552111,0.6762239654,1.233950308,2.566597738
201009,02/28/2010,0.737100737,4.493423391,3.015726179,1.334082818,0.16252612,2.402100622,2.921468775,2.123660966,0.66634275,4.227681829,1.076757955,2.72,0.438917337,0.778720123,0.436046512,0.889806645,2.063206157,2.15782984,0.144957548,1.887768296,3.038457226,1.490015361,0.6210751501,0.302386927,1.152959262,0.997833276,0.343283582,2.163880628,1.401273885,1.455074573,2.719221119,0.507350072,1.682820139,1.554828151,1.081812035,1.293772641,2.772397094
201010,03/07/2010,1.10701107,4.832556168,2.529510961,1.158457186,0.237699073,3.237451295,2.033405955,1.626222843,0.45924225,3.914083341,1.028286657,2.504797495,0.579315045,0.504759158,0.343931519,0.774345253,2.427590825,0.796460177,0.102669405,2.218658113,2.524250441,1.169920929,0.601116359,0.393540508,1.242415487,1.184802754,0.373295047,2.784440505,0.754716981,1.168343851,2.949752059,0.613882444,1.588756493,1.201923077,0.9841827768,1.216421693,2.674019353
201011,03/14/2010,0.976042591,4.136998648,2.386533134,1.237846811,0.06947661,2.79237565,1.520353114,1.244369799,0.469739261,3.948552374,1.03327702,2.720017984,0.434631433,0.49988973,0.28842192,1.00108645,2.637244349,3.515358362,0.181781458,2.20287561,2.301908618,1.178540018,0.4372506904,0.379781798,1.28440367,1.015648066,0.304136253,1.632443532,1.108269395,0.863112043,1.890410959,0.449101796,1.47106632,1.414027149,1.033591731,1.075268817,2.485555434
201012,03/21/2010,0.975359343,3.243830514,2.297220647,1.040667562,0.045745654,2.816351067,1.360544218,0.779753762,0.407370268,3.015913109,0.948622325,2.446360537,0.511373655,0.674013052,0.345241669,0.665196619,2.801690405,3.21969697,0.172546012,2.281270253,2.289422135,1.143533123,0.5279525566,0.278070044,0.6029544769,0.89688507,0.250156348,1.386351424,0.510204082,0.765396938,1.74269032,0.377528596,1.307919159,1.143002286,0.9130225853,1.062337142,2.746919814
201013,03/28/2010,0.694042799,3.001565233,2.249357326,0.878887006,0.026336582,2.239497683,1.094793057,0.80627428,0.466865517,2.476310141,0.9349248,2.253944403,0.64764572,0.497473766,0.273103691,0.730994152,2.207160236,3.45323741,0.10094892,2.146644252,2.136857708,2.742583436,0.5969905136,0.229867443,1.25274037,0.92101943,0.178603322,1.210982357,0.088731145,0.762601998,1.555810017,0.45982575,1.315742872,1.025236593,0.2600780234,1.084138581,2.628545077
201014,04/04/2010,1.019367992,2.453064116,1.045296167,0.588497548,0.069946374,1.875887899,1.047409041,0.734852028,0.403092579,2.581356227,0.960682493,2.106610801,0.639192599,0.52347588,0.281990702,0.508275225,2.386237514,2.828561573,0.173535792,1.570223902,1.805522776,1.797156957,0.3983130272,0.187456065,1.340816963,0.863609291,0.109289617,0.654015225,0.707213579,0.293115741,1.464390818,0.4066821,1.055046669,3.195084485,0.3762541806,0.795153351,1.940035273
201015,04/11/2010,0.610500611,2.285659176,0.806090461,0.949976465,0.108069164,1.766941854,1.166666667,0.7337896,0.293529019,1.749949423,0.811634654,2.032085561,0.458553792,0.300955534,0.327746741,0.638826959,1.857028754,1.765447667,0.193965517,2.113330237,1.617281158,1.990563256,0.5262003947,0.190811684,0.7092198582,0.746178842,0.14140635,0.628420839,0.178253119,0.309032167,1.641589991,0.317927583,0.964272257,1.187111362,0.5333333333,0.708558643,1.638976201
201016,04/18/2010,1.349831271,2.099468135,0.321355536,0.549600291,0.23139221,1.968395635,0.992635287,0.594633793,0.225033451,1.62504659,0.890910814,1.889966357,0.338676902,0.435686702,0.194076449,0.389959659,2.914446882,1.35891287,0.247402276,1.658833287,1.860174782,1.795955327,0.3226752713,0.144234419,0.5610098177,0.782513096,0.15142338,0.503114518,0.179856115,0.170634598,1.696778182,0.442372071,1.095814883,0.69213732,0.0747104968,0.680544436,1.820330969
201017,04/25/2010,2.385107621,2.632568635,0.39192041,0.546761321,0.294365013,2.005494505,1.170960187,0.779469079,0.314318976,1.924323246,0.865275439,2.152095189,0.452132888,0.327278678,0.296330066,0.406971177,1.964542405,1.025056948,0,1.95035461,1.776347163,2.214242968,0.2731258535,0.246447055,1.146931184,0.771505722,0.086880973,0.577972814,0.270513977,0.245872849,1.572491637,0.230171073,1.174913423,0.784655623,0.0869565217,0.641848524,1.597009854
201018,05/02/2010,0.490436488,2.374927,1.522140221,0.424922416,0.20242915,1.769843702,1.117318436,0.629402068,0.336368857,1.960907548,0.812599156,2.17757206,0.459866221,0.123164377,0.220455082,0.467455922,1.935163745,0,0.091827365,1.989116157,1.823451274,1.441946628,0.2540024631,0.2043222,0.748362956,0.955391136,0.148942508,0.539020389,0.17809439,0.143472023,1.393500011,0.25862069,1.121813997,1.641221374,0.2127659574,0.583430572,1.617614019
201019,05/09/2010,0.653238977,2.696471532,0.332778702,0.815938329,0.057636888,1.685555003,1.604083121,0.687374924,0.325419717,1.633886183,0.773358586,2.026585313,0.381165919,0.510144928,0.222734255,0.392156863,2.176894069,4.668125456,0.141123342,2.093655106,1.527360192,1.973040139,0.2447780679,0.265446224,0.8418520746,0.888482936,0.091365921,0.454174916,0.427350427,0.176170607,1.541259589,0.305391088,1.057100332,1.480347116,0.0630119723,0.669456067,0.946674655
201020,05/16/2010,0.530785563,2.534607136,1.325966851,0.699162974,0.052966102,1.626194322,0.931470393,0.667698858,0.369449378,1.6592448,0.893360161,2.316105511,0.25083612,0.461688715,0.206495213,0.317156364,2.701298701,0.224466891,0.112327998,1.436107855,1.82387369,1.2486374,0.2170425592,0.090036014,0.8460236887,0.860013624,0.017088175,0.406749021,0.387596899,0.072424407,1.150269832,0.307465256,1.166037921,1.441614608,0,0.702740689,0.774835203
