Week,MA,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,how contagious is the flu,influenza b symptoms,sinus infection cure,robitussin cough,strep,signs of flu,flu fever,flu how long,how to reduce fever,braun thermoscan,how long flu,upper respiratory,strep throat,intestinal flu,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,how to treat flu,contagious flu,flu care,flu or cold,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,flu children,treatment for flu,cough and fever,flu shots,high fever,flu cold,flu remedies,dangerous fever,do i have the flu,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,robitussin,influenza symptoms,tamiflu dosage,walking pneumonia,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,treating the flu,flu virus,rsv baby,flu shot,chest cold,rsv infection,flu like symptoms,flu contagious,symptoms of influenza,is the flu contagious,what is influenza,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,fever reducer,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,flu duration,rsv symptoms,oseltamivir,how long is flu contagious,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,cure flu,normal body,flu medicine,cold symptoms,rsv infant,tamiflu wiki,stomach flu symptoms,treat the flu,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,is flu contagious
2016-04-17,1.5737704918,0.00447339226282,0.00874995526608,0.0153705758151,16.9423371899,17.0291306903,17.0197909659,17.0497595584,25.4811380389,16.9661437628,1074.23320857,25.3460848189,56.372868555,107.175189735,33.8368189087,0.0,107.175189735,56.2557592171,746.64205133,0.0,17.0652640382,56.6130138245,16.8930293021,22.5919968536,59.3897126,129.822489136,0.0,28.1922235182,16.8694857227,50.8367509885,0.0,16.8930293021,0.0,33.8615843034,112.856852918,0.0,282.027393255,25.4708897963,79.1415974887,25.3981142618,56.372868555,16.9839520926,17.0034146971,16.9772453478,16.9796340965,59.2792252445,7599.39371307,16.9193571675,16.9745151233,0.0,39.5769383567,16.9133273247,140.944267693,141.199544399,16.9624302687,34.1408769327,16.9875268366,25.4017192445,152.306538457,16.9916271895,33.844374109,25.2851140259,107.20721454,16.9839258188,0.0,96.2036344876,34.3073163083,25.4491474472,16.9865285014,28.209343939,84.629981453,101.60301074,113.238277941,25.4584277267,33.814793088,0.0,79.1345469285,16.8542284248,62.2647314509,62.044123878,0.0,56.4489947973,50.8367509885,17.0003192378,33.9053133744,28.2074156536,67.644453993,16.9336741847,1315.64939217,16.9987631013,16.9675425142,33.8689959912,85.1456534513,429.2589856,112.856852918,79.1415974887,1222.89442841,33.8063444395,418.385882494,169.276385219,28.1836480412,95.8403378418,0.0,25.3868402243,33.9441765795,17.0188349643,45.3393984529,16.9593272148,45.1223942528,45.1393498913,45.1223942528,28.1717949508,16.9593272148,16.9583242419,84.5500376854,34.0345762821,90.4223104151,0.0,0.0,16.959176706,34.0891953145,33.794655808,0.0,25.5108626713,16.9193571675,17.0034146971,17.0146785447,25.3255920713
2016-04-24,0.9971632425,0.00255358091752,0.00563854283521,0.0111147192537,16.098101871,16.1143713853,16.2273340619,16.0455686494,16.0671412255,21.4103812768,1087.59757441,15.9301674964,42.6696470828,117.521263993,0.0,0.0,117.521263993,48.1289969832,675.444259397,16.1534839372,24.2106328969,53.563235436,24.1301502559,56.1797318854,37.4170841831,117.63452055,15.958861884,16.0311256353,16.0657462453,58.8936206969,31.9849391911,24.1301502559,0.0,16.1241317556,58.7950221066,16.1339039567,256.234533246,26.7235062303,48.1999115209,16.02954544,42.6696470828,0.0,16.073791841,0.0,0.0,48.1402522959,7482.83116116,21.4038364853,16.0262191545,32.1800441565,32.1864679682,0.0,80.0929452882,101.65969897,0.0,16.1184558887,16.1371512388,37.4011760512,155.046656889,24.0993487044,16.0705955499,32.0173303164,122.879081477,24.1107393882,0.0,58.9733346462,0.0,15.9924695956,32.1703220888,32.0439245083,64.0955359569,53.4022106867,160.940632542,16.0165618968,21.3622784759,0.0,53.5176220798,0.0,75.148595981,37.4090530249,0.0,58.8226517441,58.8936206969,0.0,21.4234437514,26.7361693196,64.038994052,16.0415435544,1091.01645391,0.0,0.0,32.1274232991,32.0960084907,433.336456418,58.7950221066,48.1999115209,1132.38652557,16.1241317556,455.355682716,128.510491146,15.9732478773,128.16691106,0.0,16.1387945004,16.0778961945,48.392052698,26.8382452217,21.431412511,32.0653617394,69.4342204272,32.0653617394,21.3683242441,21.431412511,16.0364219891,79.9957240244,21.4426800557,85.7416344474,0.0,0.0,32.0710038771,16.1127232169,48.0299800673,0.0,16.1339039567,21.4038364853,16.073791841,0.0,32.094603845
2016-05-01,0.9587858409,0.00259534736509,0.00568127868334,0.011758189587,15.705020436,0.0,0.0,0.0,31.8040013428,15.7494296946,1061.67466377,31.4772383949,47.1654895664,36.6755985273,0.0,15.6812896708,36.6755985273,89.1918647759,641.906495628,15.9020006714,15.7723254081,31.4639446998,15.8491541435,23.6871066384,31.4733498478,94.4935077535,0.0,47.148938521,15.8157070289,21.0171357598,0.0,15.8491541435,15.7399535035,0.0,52.507820707,15.8539438546,183.278881638,0.0,70.5989168233,31.5985788675,47.1654895664,15.8683303736,15.743368336,23.7753616257,15.7779268533,26.2699153599,7360.33532773,15.712880485,15.6812896708,15.8014157274,15.7177706552,15.7163128403,83.9166122579,52.444857234,0.0,15.6907733657,0.0,15.8109403903,178.4240965,0.0,31.5838050662,23.6228644108,104.865359961,15.6576305131,0.0,105.20548109,15.876247452,0.0,15.676552121,15.7600003324,36.6331073166,52.374212932,84.3137480162,31.8136447635,15.8109403903,15.8109403903,47.3090814878,15.743368336,47.3550227346,36.7134033795,15.667085604,94.7799461879,21.0171357598,15.7240568244,31.3949027576,31.5626573393,94.300038829,15.6844223108,839.9482,0.0,0.0,15.7446901732,15.652907246,367.425936206,52.507820707,70.5989168233,1042.56699719,0.0,225.914718168,84.0164580556,31.4339044829,68.1191605525,15.806176624,39.5147845571,0.0,15.7431394176,26.3414310409,15.7719811167,52.4287937043,39.1639235724,52.4287937043,39.4242751099,15.7719811167,15.6860300848,141.590900372,31.4542667908,152.388960062,0.0,15.678635135,0.0,0.0,20.9430181921,15.676552121,0.0,15.712880485,15.743368336,31.5653728178,15.7163128403
2016-05-08,0.8340629464,0.00149121580689,0.0050949873402,0.0105472451341,16.6379660046,0.0,27.8791088599,0.0,16.6694917008,24.9433155069,1226.19066798,16.6563480032,55.4130203813,38.799568045,0.0,16.718773934,38.799568045,55.3113652764,771.767232765,0.0,16.6757131073,25.0879391025,24.9182526368,41.453821247,16.6216714528,116.366286632,16.5929553011,16.6532496466,16.6532496466,24.9131265457,16.7339682151,24.9182526368,0.0,0.0,66.493392142,24.9981637232,243.826970826,0.0,50.1050348546,16.7036072204,55.4130203813,16.7086597332,0.0,16.58258226,0.0,60.9375510856,7632.27492179,16.6482305841,0.0,0.0,16.7149264147,16.517826006,60.8558337826,61.0661639623,0.0,16.7491901388,0.0,0.0,204.92693878,16.5526317803,16.6281845508,44.1378633432,60.9605823257,0.0,0.0,61.05657791,0.0,0.0,25.0474792367,16.5079083681,16.6083975719,60.8980181812,77.9031365277,16.7491901388,33.4703984363,0.0,24.9405718604,0.0,66.6146717444,38.764457498,0.0,33.2219847495,24.9131265457,0.0,22.2099863665,16.5526317803,55.3194025411,0.0,809.367446882,0.0,0.0,33.2357979067,33.1152320229,376.903990747,66.493392142,50.1050348546,1301.03523462,16.6112249506,244.231293059,88.7402077402,33.1893592588,72.0146316542,16.6432145459,16.6935113563,16.5925898534,16.5725867312,25.0414527285,16.691655277,33.131960921,38.7328163206,33.131960921,22.1311279132,16.691655277,16.6060365432,88.5786723773,33.4235765192,122.173038632,0.0,0.0,16.5626032452,0.0,33.1636918791,16.674527801,16.7593534824,16.6482305841,0.0,16.6159178798,22.158013564
2016-05-15,0.8073509077,0.00116202620675,0.00443404736786,0.0103817867682,16.8420860276,17.1320207689,34.3723531025,34.1420912283,16.9561796872,25.4048183805,1178.0797477,16.7512386952,84.4919144816,33.7895616543,16.9938476388,0.0,33.7895616543,56.5290301798,816.324749077,34.2599912857,33.7655593632,25.4448064897,17.1164791716,33.9044303011,25.3815966052,113.19156412,0.0,16.9426935338,17.0803248704,42.6839177188,0.0,17.1164791716,0.0,0.0,39.5844692285,16.8522410388,220.220058041,0.0,22.672730734,17.0187001264,84.4919144816,16.8167519632,0.0,16.9688886868,0.0,34.0185042149,7909.51629091,0.0,17.1061337626,0.0,25.6341064511,17.0854804167,84.8174072898,96.1632349954,16.9836072967,25.4779048942,17.091750339,25.4549502236,220.50884541,0.0,34.1709608334,51.080258817,90.487250027,34.090470286,0.0,79.4812325269,0.0,0.0,25.4277475543,0.0,25.5670606038,39.6087480836,124.896810183,17.1247992244,17.1631887873,16.7663117954,16.9278761027,0.0,50.9819684221,42.3146360442,16.8370131102,28.2644249702,42.6839177188,17.1527868547,17.12165657,0.0,73.4118469448,16.9323826143,899.458417269,0.0,0.0,0.0,22.6453142834,441.443272226,39.5844692285,22.672730734,1220.2838289,17.1014696099,215.391510348,84.9369589919,59.0719157502,56.5697642995,17.0238185325,16.821812677,17.0607120514,34.0801648234,17.1325962177,17.0756958522,25.3782324713,16.8973325081,25.3782324713,45.1917824817,17.0756958522,0.0,84.6359809017,16.9784920859,141.72575732,0.0,0.0,16.8370131102,16.7814120462,0.0,0.0,34.2548027392,0.0,0.0,17.0700231063,25.6108816938
2016-05-22,0.835339091,0.000577899258102,0.0043420538852,0.00934010152284,25.6484726134,0.0,0.0,0.0,17.0888093058,17.0614167312,1126.39583352,17.0065150489,51.1068281455,68.2100249017,0.0,25.604706349,68.2100249017,45.444864664,677.427647658,0.0,17.1533401543,17.1457720034,17.1094791688,42.4828423031,28.4015008994,107.946604907,0.0,0.0,17.0116129251,34.0711866933,17.0739941408,17.1094791688,0.0,0.0,56.7756318607,17.1457720034,85.1133215607,0.0,34.0814662633,17.0259471799,51.1068281455,0.0,0.0,0.0,0.0,42.5157318854,7549.66759432,0.0,34.2181131855,0.0,22.7584491451,0.0,102.135075996,45.5099112349,0.0,17.0884494785,51.3284375065,16.9421596599,187.309129186,0.0,33.843519417,17.0784930913,124.814096457,0.0,0.0,85.4244910432,17.1039001562,0.0,51.2190800706,25.5523931776,25.5189954847,34.0760587983,62.7165117687,17.0449016833,25.5872597857,0.0,51.1228299767,0.0,45.6408052446,34.0585696292,25.5468635419,17.0991379907,34.0711866933,0.0,34.0588220246,17.0098328668,102.071363435,0.0,710.061558066,0.0,0.0,17.0781645255,25.625177103,397.748802611,56.7756318607,34.0814662633,1043.03373109,17.1353869205,221.836893837,62.5168875061,45.3197821332,113.421858871,0.0,34.0300209541,0.0,17.0483752357,28.5065192433,25.591143898,17.0526317832,62.4259174159,17.0526317832,17.0681893247,25.591143898,0.0,96.2108405901,17.083305454,119.579434428,0.0,0.0,17.0935966019,0.0,34.0389953892,17.0116129251,0.0,0.0,0.0,17.0190995312,17.0331744886
2016-05-29,0.5822159492,0.000335745728568,0.00423412668805,0.00977393120943,34.4732566649,17.3155033476,17.5771556209,0.0,34.5464039206,0.0,931.320348562,17.1742897128,25.8280349082,43.3503102032,52.477950195,17.2470621268,43.3503102032,80.7069730239,549.872566793,0.0,17.426180463,0.0,17.3397642692,0.0,25.8358073625,121.362609115,0.0,0.0,0.0,17.3873865582,17.4110964254,17.3397642692,17.2418436512,17.5137001854,51.985553717,17.3840689917,103.892623841,0.0,60.8392979584,17.2314161678,25.8280349082,0.0,0.0,17.5559527794,0.0,17.363157404,7802.01281871,17.5137001854,0.0,0.0,17.2786100624,34.5369291038,92.2846007191,75.1568326508,17.1691151754,0.0,0.0,0.0,236.662610291,0.0,0.0,17.2684645519,86.5787587463,0.0,0.0,46.3492635272,0.0,0.0,35.0274003709,17.2841157282,43.0778773504,34.686261901,81.1223147731,17.3100304936,34.3485794256,0.0,40.4603735012,0.0,23.183337018,17.3157643745,0.0,17.5137001854,17.3873865582,0.0,0.0,35.0484885108,51.879478218,25.994999518,733.613933412,17.3627991079,0.0,17.2580461721,34.5160923441,283.22133649,51.985553717,60.8392979584,1002.08217313,0.0,225.551214523,75.0487384701,52.477950195,103.769852972,0.0,17.5189706339,0.0,17.3575312683,43.5472066135,0.0,26.0211612727,63.4864766674,26.0211612727,34.9958156996,0.0,34.4004185132,57.6514239126,34.885249767,81.1340250903,0.0,0.0,17.378854979,0.0,0.0,0.0,17.5612486927,17.5137001854,0.0,0.0,0.0
2016-06-05,0.8370111094,0.000190382510193,0.00326823309165,0.00805952626485,0.0,16.0190469748,0.0,0.0,0.0,32.0068870105,1151.77891813,0.0,47.641193857,37.0826784278,0.0,0.0,37.0826784278,39.6662520219,621.646390578,0.0,16.0556935317,15.9363531489,15.7037361701,23.997855816,15.7557352965,121.904335121,0.0,15.9829555664,0.0,15.7462553114,0.0,15.7037361701,0.0,0.0,63.4892001673,16.036232085,100.692324687,0.0,47.8023767411,15.9625191124,47.641193857,0.0,15.7367867273,16.0481725148,0.0,31.7444555254,7150.72169179,0.0,0.0,15.9514967767,23.845281703,15.7226051832,95.2928124435,58.3524518977,0.0,0.0,23.804305923,26.5230746668,196.002410354,0.0,15.9733069365,0.0,79.4378558837,15.7509938775,0.0,42.4965003247,0.0,0.0,42.4673224036,0.0,31.7653628256,26.5279787896,69.1800413987,40.122522756,15.6990259913,0.0,15.8769667147,15.7367867273,42.5911391401,31.8147695984,15.7652267033,21.1832538565,15.7462553114,16.0579045781,0.0,0.0,58.2274915473,15.8424171206,583.551054945,16.0627750375,0.0,15.8746109604,0.0,259.911033467,63.4892001673,47.8023767411,957.373124446,0.0,122.156579983,84.8228311643,63.3864753154,132.305439983,0.0,0.0,15.9877842539,16.0093619403,37.235033642,16.0034756077,15.8483193149,31.6966386298,15.8483193149,0.0,16.0034756077,0.0,73.9942083059,23.858741864,122.11523453,0.0,0.0,0.0,0.0,15.8803827223,0.0,15.9636255812,0.0,15.7367867273,0.0,16.0335965179
2016-06-12,0.5805038335,0.000171539961014,0.00288499025341,0.00692397660819,0.0,0.0,0.0,0.0,15.7273581139,15.3904747532,910.230929319,0.0,31.0313800918,23.2437565702,0.0,0.0,23.2437565702,67.4601616639,635.185655852,0.0,23.3680913604,23.3140971661,23.2113278153,15.3393281603,36.360603234,135.125249331,0.0,0.0,0.0,0.0,0.0,23.2113278153,0.0,15.3625344057,25.9546576979,0.0,88.349111147,15.65843115,52.0365168642,15.6866869656,31.0313800918,0.0,0.0,0.0,0.0,26.014290154,7050.26647363,0.0,0.0,15.5250855696,0.0,15.5816340214,108.891758412,41.6461414567,23.2530371159,0.0,0.0,23.604210978,187.051498491,0.0,23.2770681194,23.2018686363,98.6726953281,15.3532434868,0.0,93.7758048134,0.0,0.0,23.2648879549,0.0,15.5691078494,31.1259936239,52.1405899936,15.5529408202,0.0,0.0,15.330065281,0.0,20.8153938241,31.4128547933,0.0,25.9453212361,0.0,15.3951413617,0.0,0.0,41.4908700795,0.0,665.216561329,0.0,0.0,15.3393281603,20.808912429,291.07378128,25.9546576979,52.0365168642,797.597966551,0.0,98.8060484157,103.975719307,25.9359091156,83.0257714979,0.0,15.343963799,0.0,0.0,15.60745325,15.8015890289,0.0,36.3215368622,0.0,15.6772570365,15.8015890289,0.0,103.813250699,0.0,88.5104059161,15.7681515672,0.0,15.5270232647,0.0,15.5297455389,0.0,15.6027208471,0.0,0.0,15.3718365761,0.0
2016-06-19,0.4946508685,0.000145675855036,0.00286495848238,0.00689532380505,14.4843168783,0.0,0.0,0.0,14.6150077183,43.4137095596,861.53463884,0.0,33.9297021943,24.3020579982,14.6805388662,14.4581797651,24.3020579982,48.6029913187,609.143996264,0.0,14.598063599,22.043719668,14.6284889661,24.3403652861,29.0640398832,107.082072463,14.6329137964,0.0,0.0,0.0,0.0,14.6284889661,0.0,0.0,48.6040349677,14.6876823372,131.244285265,14.4321368115,29.2432863994,21.9729070646,33.9297021943,0.0,0.0,0.0,0.0,29.1890063296,6921.65923987,0.0,14.493050262,0.0,21.8992893882,14.5211485618,87.4072161199,43.833525458,0.0,0.0,29.2569779322,14.4451465502,194.314932073,0.0,14.6584429317,28.8210118219,58.276558374,0.0,0.0,48.7883270117,0.0,0.0,24.327056843,21.8750679343,43.6955774307,53.4665627785,39.0202375123,14.4843168783,0.0,0.0,34.0713096878,14.7071420777,24.371342222,43.7642013633,0.0,14.5812502796,0.0,0.0,0.0,14.6716925035,48.5571972767,14.5167049552,690.524689171,0.0,0.0,14.5298356664,0.0,306.448192836,48.6040349677,29.2432863994,1073.34261561,14.4321368115,126.698352491,48.6556581161,21.935247742,82.5467770592,0.0,0.0,0.0,0.0,34.2203466883,0.0,14.5799918658,19.4328511862,14.5799918658,14.6716925035,0.0,0.0,77.7321848631,14.6039107319,97.3553892311,0.0,0.0,14.7032943146,0.0,21.7404325478,14.6805388662,14.6445463787,0.0,0.0,0.0,14.6108163729
2016-06-26,0.4545186235,8.20506088155e-05,0.00247792838623,0.00618661590469,0.0,0.0,0.0,0.0,0.0,29.5995662203,865.3236156,0.0,14.7551016682,21.9765377971,14.8895499132,0.0,21.9765377971,34.3315562798,472.536905671,0.0,14.798734218,29.3782973808,14.6625218348,14.7840810111,29.7431672776,152.12769917,0.0,14.6315789186,0.0,14.8760711414,22.2116471691,14.6625218348,0.0,0.0,39.2728945094,29.8783634925,132.451628871,0.0,29.590515409,29.3351783186,14.7551016682,0.0,0.0,0.0,0.0,22.2161374937,6788.48871701,0.0,0.0,0.0,29.6039642711,14.8805613531,103.009082621,36.6771960963,14.6561390591,29.3705112645,0.0,0.0,142.453624208,0.0,14.6192248066,0.0,78.5295063327,0.0,0.0,88.6898078157,0.0,0.0,24.5501165515,14.649651799,36.9033139052,19.6558937451,69.0430211483,14.9437101433,29.2543383201,0.0,19.655728252,0.0,39.3920468608,34.3667734485,0.0,14.7551379209,14.8760711414,0.0,14.8064628376,0.0,63.7327207368,0.0,692.547272081,0.0,14.6583479721,22.1437787035,14.7451422826,294.730919189,39.2728945094,29.590515409,891.493927961,0.0,127.881731408,88.3647029236,14.8626167509,44.1185964469,14.6227620588,14.6764170793,0.0,0.0,34.4782501371,0.0,24.5042337138,34.3578675084,24.5042337138,14.6227620588,0.0,0.0,49.1180110061,0.0,83.648135136,0.0,0.0,22.0340553705,0.0,0.0,0.0,14.9391817463,0.0,0.0,0.0,14.6935959046
2016-07-03,0.4886789379,0.000123780248798,0.00313576630289,0.00682854372537,15.6646536395,0.0,0.0,0.0,15.3323125056,20.6713117984,925.282087432,0.0,15.608000281,41.3096617154,15.5230854659,15.6741358754,41.3096617154,36.1304573954,548.575564565,0.0,15.5937305757,0.0,0.0,0.0,23.1187860344,72.3308240098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.816367676,15.6504517777,67.1033854795,15.6551828695,30.9975614169,31.1567717171,15.608000281,0.0,15.313873164,0.0,0.0,23.1817988269,7509.25906795,0.0,15.5324678083,0.0,23.4246217904,0.0,77.3684822302,56.8390372615,15.6032976596,15.5261305911,0.0,31.0743264677,185.804779258,0.0,15.2679682684,20.5889893974,51.5891833424,0.0,0.0,46.5831536011,0.0,15.6693933229,15.505787232,15.6409981674,70.04767839,51.6379794943,62.1984535438,15.3461711791,15.608000281,0.0,23.2408731181,0.0,25.8775205034,46.423744847,0.0,45.9692618623,0.0,0.0,0.0,15.3323125056,67.0016092342,0.0,666.075256696,0.0,15.608000281,15.4156269877,15.5842009378,258.198640757,25.816367676,30.9975614169,885.949130695,0.0,98.2608501109,38.9733854056,36.0913012945,46.4316574787,0.0,0.0,0.0,0.0,46.9344757681,0.0,15.4903363404,15.3970832064,15.4903363404,15.4550625763,0.0,0.0,92.7244655686,31.1119467177,93.1471895416,15.2633929108,0.0,15.471781773,0.0,0.0,0.0,15.5748290841,0.0,15.313873164,0.0,15.4110745936
2016-07-10,0.4266771695,0.0,0.00191790674178,0.00592496189873,30.0550680334,0.0,0.0,0.0,37.5496339199,30.0853157767,843.585705525,14.843127197,14.9799467324,22.4699180638,14.945502212,15.0184518786,22.4699180638,24.8749362238,384.837581125,0.0,15.0762379822,0.0,22.3642717043,29.8534827553,14.9799344641,119.586683725,14.8698635414,14.9610275471,0.0,15.0003136248,22.4735597039,22.3642717043,0.0,0.0,15.0034059146,15.0579637543,89.7486201477,0.0,30.0414293699,19.9202583738,14.9799467324,14.9011779352,0.0,0.0,0.0,14.9703443058,6712.83273379,0.0,0.0,0.0,15.0062680296,29.7575941463,139.407248306,37.3764410641,0.0,15.0366616045,0.0,22.3910122638,164.475580805,14.9626990841,14.9385094442,19.8858815835,69.7850980692,0.0,0.0,50.0344302013,0.0,15.0153489784,14.9762692477,14.8698635414,24.92880952,39.87534636,75.0537119573,14.9236262297,0.0,0.0,15.0048379166,0.0,52.4364675252,24.9077127518,0.0,19.9292104695,15.0003136248,0.0,15.032090567,0.0,52.3148279064,14.9717626964,568.592225331,0.0,0.0,0.0,14.9146388005,189.632819347,15.0034059146,30.0414293699,880.287354157,0.0,54.9278999576,69.8892451419,44.7482660097,114.436670646,0.0,0.0,14.9461422621,22.5721038602,20.0363755946,0.0,29.9463205991,29.8652996967,29.9463205991,0.0,0.0,14.979090967,84.5387971538,15.0298071273,75.0306334691,0.0,0.0,15.0021275971,15.0244409245,0.0,14.9610275471,15.056349628,0.0,0.0,0.0,0.0
2016-07-17,0.4277217136,8.26651235844e-05,0.00286021327602,0.00672894105977,0.0,14.9188995654,14.950431056,14.9459183995,0.0,14.9283525482,956.728340569,14.7031092131,19.7499752443,14.8451111812,22.2494859629,0.0,14.8451111812,39.6532755492,471.357778346,0.0,22.4636896103,14.8823986157,14.8531577155,44.568701762,29.8108534964,93.8864747795,0.0,0.0,0.0,22.3868872822,0.0,14.8531577155,0.0,0.0,29.6159494179,14.9645071344,108.779817087,0.0,19.8184052421,14.8174477368,19.7499752443,0.0,0.0,0.0,0.0,14.8599040344,8020.1994486,0.0,0.0,0.0,14.7520158358,14.7386454287,143.409499279,49.5923329037,14.914405921,14.9099149827,0.0,14.9648319118,197.930159015,0.0,0.0,22.1608532362,108.876711871,14.8259248611,0.0,54.5823320514,0.0,0.0,22.2920959885,14.7991870842,29.6783318257,44.5024772425,39.737317775,14.8551155216,0.0,0.0,24.7751441622,0.0,49.6706165397,34.6245610612,0.0,19.7929553119,22.3868872822,14.9712630462,14.7788295574,14.9467584433,34.5947842104,14.8919782429,529.724334842,0.0,0.0,14.9170885734,14.9099149827,178.386314696,29.6159494179,19.8184052421,914.110679089,0.0,114.072923211,49.5728796774,39.5560697149,88.8906729198,0.0,0.0,14.7654105233,14.9233959185,19.9009437853,0.0,0.0,59.5741597644,0.0,14.6986792314,0.0,0.0,79.0236632399,22.2321971122,79.4173017889,0.0,0.0,15.028434719,0.0,14.8307581198,14.8428739981,14.9369012542,0.0,0.0,0.0,14.8215953152
2016-07-24,0.4148407829,5.01027105566e-05,0.00200410842227,0.0065467541794,14.5052067744,0.0,0.0,0.0,19.3918036932,19.3741868938,982.395580165,0.0,19.3129744019,21.7372535967,14.5010254193,0.0,21.7372535967,33.8177089924,556.979116782,0.0,14.5602088793,14.4833878713,0.0,14.5048085158,0.0,116.077524852,0.0,14.4813387398,0.0,0.0,0.0,0.0,14.4833878713,0.0,38.6956110478,0.0,101.325785546,0.0,28.9933420807,0.0,19.3129744019,0.0,0.0,0.0,0.0,14.5175098903,8319.39723531,0.0,0.0,0.0,72.679937183,21.7477418804,86.9234211379,21.7652066184,0.0,14.4964713292,14.4964713292,14.5339906767,154.625550655,14.5536766463,14.5120558885,21.7336159203,62.831126216,0.0,14.4790319652,58.0874806413,0.0,0.0,33.8453449812,14.5273033271,24.1618476792,19.3509076508,77.5731583613,14.5449044677,14.439946396,14.4966550078,14.522917064,14.4945556704,53.3280286468,36.2401683821,0.0,24.1691472271,0.0,0.0,0.0,0.0,24.1370486635,21.7313982886,614.19004535,0.0,0.0,14.5033005003,14.5163527189,212.924247297,38.6956110478,28.9933420807,926.667769498,0.0,92.0231263265,48.3195300771,38.6169842346,53.1188650033,0.0,0.0,0.0,0.0,24.2936432706,0.0,21.7445013341,28.9779680185,21.7445013341,0.0,0.0,0.0,57.8391191868,14.5515863071,92.1096493644,14.426964724,0.0,21.7939025158,0.0,14.5010254193,14.5010254193,29.0454185726,0.0,0.0,0.0,0.0
2016-07-31,0.3892681758,3.35671847202e-05,0.00193011312141,0.0063106307274,0.0,14.7463710603,14.7552974351,0.0,14.7776607231,59.2287390166,839.992857571,0.0,29.8162901831,24.6656218814,0.0,0.0,24.6656218814,54.2438314868,538.968343874,0.0,22.3944282927,14.9623565282,0.0,14.805462919,29.497505829,98.7358812487,0.0,14.7365831056,14.7211499786,14.8200298132,29.8794411759,0.0,0.0,0.0,22.1203421129,0.0,88.8062390476,0.0,34.5811314862,0.0,29.8162901831,0.0,0.0,0.0,0.0,29.6554875283,8370.0769867,0.0,0.0,0.0,0.0,29.5520983798,54.1576396319,34.6079132741,0.0,14.7968265,0.0,14.9261718692,118.306257945,0.0,22.2619319567,29.4200796209,73.9477443971,0.0,0.0,39.6579325769,0.0,0.0,22.2558018627,14.7241023031,29.4821586034,22.2445790267,74.2808656567,22.3628927776,0.0,0.0,24.720745588,0.0,59.3232614141,39.4307633997,0.0,29.5965509947,14.8200298132,0.0,14.7687072782,14.8071847541,29.560084574,14.7938248882,582.56711184,0.0,0.0,22.2639588019,14.7788612935,276.374312376,22.1203421129,34.5811314862,792.422197929,14.7671773501,98.8487230417,39.5157495732,66.6870313086,98.5958085259,14.7343450537,14.96689195,0.0,0.0,39.6653321973,0.0,14.8811864205,22.184230325,14.8811864205,14.8946535575,0.0,29.8523437383,98.5091223801,0.0,103.900074753,14.7374554793,0.0,22.2783375223,0.0,29.8343060684,14.7450442905,0.0,0.0,0.0,14.8291748719,14.7678705231
2016-08-07,0.3336771219,1.68205749273e-05,0.00242216278952,0.00644228019714,0.0,0.0,0.0,0.0,22.2844400737,34.7397094308,842.121275281,0.0,14.8210264727,19.7691954519,0.0,14.7855855048,19.7691954519,19.7603684527,376.999730555,0.0,29.7981067183,14.9320352308,0.0,22.2709099103,14.8236546899,89.1525783903,0.0,0.0,0.0,14.8802372979,0.0,0.0,14.8169298714,14.8169298714,44.5327119023,14.9094724698,54.3613483019,14.7632777415,24.7980962523,0.0,14.8210264727,14.7632777415,0.0,0.0,0.0,22.2882487733,7811.99739274,0.0,14.8600736152,0.0,44.587057192,29.6251302774,74.1404690825,69.2578576062,14.8981652947,14.8936792467,0.0,0.0,173.047646488,0.0,14.8511271531,14.8267112645,44.5252137858,0.0,0.0,54.5835424507,0.0,14.7811185605,29.6608154649,0.0,19.7811008789,29.6897982411,39.7449233907,14.9026540459,0.0,0.0,29.5890549957,0.0,109.203602466,34.6302652436,0.0,0.0,14.8802372979,0.0,0.0,29.5443855286,49.4287481157,22.2962680342,648.414968789,0.0,0.0,19.8079191684,29.5176485281,188.218981483,44.5327119023,24.7980962523,859.608945308,0.0,69.4310602278,69.3593247623,14.8058324061,88.909340031,14.8645508896,0.0,29.5622371211,0.0,37.2578077725,14.8802372979,19.7750934633,44.4493548064,19.7750934633,0.0,14.8802372979,14.7900551497,79.0060650949,14.8079607855,69.3863568617,14.9139795654,0.0,14.8833199677,0.0,0.0,0.0,14.9682780347,0.0,0.0,0.0,14.8578878877
