Week,OR,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,strep,flu fever,flu how long,braun thermoscan,how long flu,upper respiratory,strep throat,ear thermometer,cold or flu,expectorant,how long contagious,flu or cold,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,symptoms of flu,cold,cough and fever,flu shots,high fever,flu cold,flu remedies,flu treatment,body temperature,flu incubation period,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,incubation period for flu,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,chest cold,rsv infection,symptoms of influenza,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,how long is flu contagious,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv
2016-08-07,0.0,0.000233481204763,0.000466962409526,0.000700443614289,33.5763406963,0.0,489.673330857,83.9517213638,33.4245031592,33.4043618497,33.4245031592,0.0,311.449652747,0.0,0.0,33.5865122627,55.5680425216,0.0,0.0,0.0,33.3786894549,0.0,89.4369771316,33.292782131,0.0,83.9517213638,33.3530587432,0.0,0.0,33.3530587432,6428.96123442,33.4032171879,66.9061007169,77.8637106054,55.614964443,0.0,0.0,122.337749929,33.3832789716,0.0,66.9891131363,0.0,50.353923125,0.0,33.5053118704,0.0,0.0,55.7529965568,111.337829739,33.5255751373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.216680185,0.0,500.420999573,0.0,0.0,233.718945098,33.3786894549,33.292782131,880.270170239,0.0,166.798440244,50.2135388661,77.89056081,111.371114108,33.5255751373,0.0,33.4547607059,66.8858138459,0.0,33.6068738949,33.3821752518,33.6068738949,0.0,0.0,117.532606576,0.0,145.138865998,50.1325003214,0.0,0.0
2016-08-14,0.0,0.0,0.000440237728373,0.00132071318512,51.5064028314,0.0,651.828323628,0.0,68.6136998201,34.0996790024,68.6136998201,68.5724771154,354.2829346,0.0,0.0,34.5790667453,57.0597128594,0.0,0.0,0.0,79.9780313438,0.0,206.609175969,68.5723288826,0.0,0.0,0.0,51.4894530424,34.2648606143,68.7495234923,6898.96213701,0.0,34.3641026276,68.551612351,68.4740427188,0.0,0.0,194.083910615,0.0,34.29143538,34.3519802489,0.0,34.4946427805,0.0,0.0,34.3700034638,34.318132043,51.4440935399,137.217530144,34.3482958175,0.0,68.7480978804,0.0,34.4006126874,51.4941170618,0.0,0.0,80.2690066167,0.0,514.006011168,0.0,0.0,183.040188165,79.9780313438,68.5723288826,766.461735129,34.265499434,91.3494703063,102.989363064,0.0,102.811930328,0.0,0.0,0.0,34.526562848,0.0,0.0,45.8475478631,0.0,0.0,0.0,57.4792818265,0.0,103.23607623,68.5713894871,34.4419162483,34.0894080148
2016-08-21,0.0,0.0,0.000920386562356,0.00115048320295,50.9362345898,0.0,609.826621089,50.9932613827,84.6006586949,0.0,84.6006586949,79.0800266572,293.358127011,67.6811111619,0.0,33.971979687,67.7243367383,0.0,0.0,0.0,56.423336024,0.0,101.942563396,50.7112980249,33.777561731,50.9932613827,0.0,0.0,0.0,33.8447453344,7224.10142913,0.0,33.9990030585,33.8689936963,84.6514424679,0.0,33.9168776308,124.239833613,0.0,33.8489299568,33.9252472698,0.0,51.0548344851,0.0,0.0,0.0,50.8249928646,50.8862269338,135.643534448,33.9103431953,33.9687694914,50.9890804113,0.0,158.807565825,33.9369374541,0.0,0.0,50.952000105,0.0,394.901983528,34.0408462985,0.0,169.539426131,56.423336024,50.7112980249,780.093015493,0.0,157.860596356,79.0802229776,56.4471614825,90.3979725942,0.0,0.0,0.0,56.7314549467,33.9379727829,0.0,50.9517025212,0.0,67.9169954271,33.9379727829,68.2042307701,33.9224691799,84.8835214633,33.9277196189,33.9661575659,33.769205012
2016-08-28,0.0793650794,0.0,0.0,0.00179091112604,27.3837931112,0.0,652.682687381,27.1575022572,27.2705363334,0.0,27.2705363334,67.8468107825,335.074244963,0.0,0.0,27.3009989133,72.3898216777,0.0,0.0,0.0,27.2353267631,0.0,90.9216410621,27.0170100537,27.1165654133,27.1575022572,0.0,0.0,0.0,54.3654843123,5786.02652716,0.0,54.549469986,90.5945261906,67.9267658012,0.0,0.0,108.698191727,27.0170100537,0.0,81.9843991125,27.0905146155,27.2810577724,27.033309909,0.0,0.0,54.7675862225,27.29511064,145.267427025,54.6847806794,0.0,0.0,0.0,181.928090947,68.1849523273,0.0,0.0,54.4536976824,0.0,352.916321347,27.1644202329,0.0,244.685810873,27.2353267631,27.0170100537,761.7444207,0.0,199.030790345,63.4749063338,40.8313562262,68.1304067514,0.0,0.0,0.0,109.256165882,0.0,0.0,45.4179627688,0.0,27.1411126964,0.0,36.4326132749,0.0,109.071398962,0.0,27.2909187739,0.0
2016-09-04,0.0,0.000723938223938,0.00120656370656,0.00265444015444,21.4688180257,0.0,394.280223924,43.2481598647,75.4117202436,21.3588542094,75.4117202436,21.5614547329,221.927209566,42.9880434863,21.4356140754,0.0,64.4094656094,21.4356140754,0.0,0.0,42.8009159685,21.5194330481,79.0003203176,32.2939063364,21.5969253732,43.2481598647,0.0,0.0,0.0,35.815451745,5630.43389963,21.4745171862,93.4435534974,57.3047195591,50.1242928996,0.0,0.0,128.918503316,21.3781776601,0.0,21.449046593,0.0,21.5396704544,0.0,21.4810147708,0.0,21.5126569019,21.5940989466,64.5784686309,21.4420881358,0.0,21.4948566164,0.0,194.244140879,28.7872086581,0.0,0.0,64.6806660784,0.0,336.488020664,21.5200830002,0.0,207.824950072,42.8009159685,32.2939063364,652.705696573,0.0,150.258911192,107.559277729,21.506436254,64.5132159399,21.4363583674,21.4883410491,0.0,93.5896478282,0.0,43.1185871956,32.3818301472,43.1185871956,0.0,0.0,79.2466895623,21.4688180257,100.643614135,21.6295294272,21.5875424171,0.0
2016-09-11,0.2766251729,0.0,0.000615132253434,0.00246052901374,41.1558570116,0.0,485.823339079,41.2206110727,34.2169821799,0.0,34.2169821799,41.0048691118,307.724752494,61.6851229653,41.3234684099,20.6066245431,54.6159371082,41.3234684099,0.0,0.0,40.9262867422,0.0,109.647758654,61.5941117893,20.4688083735,41.2206110727,20.525765467,0.0,0.0,30.7819118641,5879.23261681,20.4690374986,130.361281304,34.1671791462,109.328675766,20.5065298414,30.7995937834,157.1588785,20.4934993366,20.5250965754,47.9293120828,0.0,130.477729766,0.0,20.5250965754,0.0,41.009266937,61.6331927172,123.268686559,20.5222934189,41.0377687581,0.0,0.0,418.727209578,41.0501931507,0.0,0.0,54.8621923347,0.0,1857.96023175,0.0,20.5816770558,218.78357406,40.9262867422,61.5941117893,848.658291711,20.5058671696,259.485641169,116.325766173,30.7664045845,41.0398057601,0.0,0.0,20.5058671696,123.669539992,20.5803887947,20.5188843791,0.0,20.5188843791,27.3193449792,20.5803887947,48.1226205901,41.1023133256,61.7369615232,61.4079655692,41.1358618645,0.0
2016-09-18,0.155159038,0.000387596899225,0.000968992248062,0.00271317829457,0.0,0.0,743.154709961,27.9641216814,74.4018571612,27.8468724547,74.4018571612,46.390093321,529.220996719,27.8962940369,28.0552753296,55.9760357598,46.4039772665,28.0552753296,0.0,0.0,27.8345673516,27.8774959748,139.851039829,56.0409560616,55.2950311962,27.9641216814,0.0,0.0,0.0,0.0,7530.39254911,55.9182199366,279.605277579,46.3927892224,157.778437776,27.5225644881,27.9196197221,278.586801626,0.0,0.0,74.5056224683,0.0,121.261704868,0.0,0.0,27.9280597522,27.8859105525,37.217549633,102.351214893,28.1345911711,27.8930323621,37.2317017319,0.0,820.673882855,93.1059236749,0.0,0.0,74.5367044957,0.0,899.914610068,0.0,0.0,324.909347725,27.8345673516,56.0409560616,957.567345133,0.0,417.334494844,176.660382743,74.2665309702,37.1640964833,27.9618709626,0.0,0.0,186.609880107,27.9111847917,83.2196096593,83.6875316259,83.2196096593,27.6224346949,27.9111847917,121.366854248,27.9534104873,177.068121173,28.1260861556,0.0,0.0
2016-09-25,0.176366843,0.000189000189,0.000567000567001,0.002079002079,0.0,0.0,661.613528902,72.6476935015,124.082863868,0.0,124.082863868,31.0021432147,433.845555999,31.0381305351,46.6094870487,0.0,82.6173481598,46.6094870487,0.0,0.0,61.9031883906,31.0650546333,228.09327177,134.22556225,30.949237561,72.6476935015,0.0,0.0,0.0,30.9085942007,7987.65945359,31.0368649285,383.767141576,0.0,196.250320964,92.7458952579,0.0,216.852274518,0.0,0.0,82.8269918208,0.0,114.197093163,0.0,62.0230585415,62.1439334294,0.0,62.073729857,134.590838712,31.1401378114,31.0194891022,82.8518631449,0.0,1141.61347338,46.6234622626,0.0,31.2345877289,62.3745825211,30.9806676841,908.659929943,0.0,0.0,351.495182469,61.9031883906,134.22556225,1013.97702657,31.0240563848,495.316110472,486.062099215,31.0033309349,93.2041488039,0.0,0.0,0.0,321.997548733,31.0662958903,41.483965276,46.6631887962,41.483965276,0.0,31.0662958903,124.722856723,31.055652377,217.80949803,30.9272588108,46.6773177408,0.0
2016-10-02,0.6026231833,0.000403958796203,0.000807917592406,0.00242375277722,29.6301116908,29.5144950148,749.780784491,69.3226424881,138.190166581,0.0,138.190166581,59.1619053482,502.440925148,29.6196632112,44.7125717945,29.6976808796,108.364021383,44.7125717945,0.0,0.0,88.8749257294,59.0679469472,326.466740008,98.5864045124,29.6249752431,69.3226424881,0.0,29.6875695162,0.0,59.0545559006,7729.24433493,0.0,435.486721729,69.0170578649,128.113256386,0.0,29.6168056725,216.930605607,0.0,44.6085021636,79.1084092364,29.7144766789,128.73495324,0.0,58.9329287007,29.6974321852,59.5729362854,74.0455211297,217.235042112,29.7414326602,59.3948643705,78.9469690055,0.0,1405.93670476,49.4979951309,0.0,0.0,118.682174703,0.0,935.917575996,0.0,0.0,414.418416723,88.8749257294,98.5864045124,937.64260171,59.3948643705,581.073541072,433.993096943,59.3939335851,89.1088306131,0.0,0.0,44.2672451376,376.533205735,0.0,59.4220008319,49.4378100031,59.4220008319,29.3686577397,0.0,79.2674216456,58.8972658089,197.769224054,59.1170178388,44.4093038706,0.0
2016-10-09,0.4180602007,0.0,0.000192604006163,0.0021186440678,59.9193727492,29.9645804936,647.99263563,30.0828019038,129.541106133,59.6484078438,129.541106133,89.6814078287,468.311936332,29.9350023091,30.0148333764,30.0372219009,89.5819766065,30.0148333764,0.0,0.0,44.8274224816,0.0,330.013076475,89.5010890687,29.808874672,30.0828019038,0.0,0.0,0.0,29.8655124194,8130.13157093,59.9654157731,349.963974575,149.411487014,209.126589183,59.8394296025,0.0,149.390663841,0.0,44.9840004133,109.760456455,29.8835580462,134.991902139,29.8963083738,0.0,29.9376010789,29.9080888659,79.8693926334,209.53362945,29.9304270659,29.9827078865,99.800658673,0.0,1260.81318165,100.04902302,0.0,30.0032545915,99.9518999468,29.8294864695,696.910936647,29.9415509712,29.9624757911,518.366892879,44.8274224816,89.5010890687,967.704080143,29.9827078865,507.590442791,319.083592958,29.8421974084,119.674196227,0.0,0.0,29.9555250145,200.294497244,0.0,60.2021453221,29.9578473779,60.2021453221,0.0,0.0,100.194709675,44.9095407916,139.955906223,29.9057492881,0.0,0.0
