Week,ILI,GFT,AR52,ARGO,state
2017-04-16,2.1230266739,0.0,3.4428189967442813,3.3109164697521893,SC
2017-04-23,2.5841550493,0.0,2.132528878338925,1.8241651074611482,SC
2017-04-30,1.6985976694,0.0,2.34385454780759,2.026756604502787,SC
2017-05-07,1.6922471468,0.0,1.7239068746351742,1.4527691268323522,SC
2017-05-14,0.949293818,0.0,1.5407041118139315,1.3303491128942606,SC
2011-01-02,0.0,0.0,0.0,0.0,SD
2011-01-09,0.0,0.0,0.0,0.0,SD
2011-01-16,0.0,0.0,0.0,0.0,SD
2011-01-23,0.0,0.0,0.0,0.0,SD
2011-01-30,0.0,0.0,0.0,0.0,SD
2011-02-06,0.0,0.0,0.0,0.0,SD
2011-02-13,0.0,0.0,0.0,0.0,SD
2011-02-20,0.0,0.0,0.0,0.0,SD
2011-02-27,0.0,0.0,0.0,0.0,SD
2011-03-06,0.0,0.0,0.0,0.0,SD
2011-03-13,0.0,0.0,0.0,0.0,SD
2011-03-20,0.0,0.0,0.0,0.0,SD
2011-03-27,0.0,0.0,0.0,0.0,SD
2011-04-03,0.0,0.0,0.0,0.0,SD
2011-04-10,0.0,0.0,0.0,0.0,SD
2011-04-17,0.0,0.0,0.0,0.0,SD
2011-04-24,0.0,0.0,0.0,0.0,SD
2011-05-01,0.0,0.0,0.0,0.0,SD
2011-05-08,0.0,0.0,0.0,0.0,SD
2011-05-15,0.0,0.0,0.0,0.0,SD
2011-05-22,0.0,0.0,0.0,0.0,SD
2011-05-29,0.0,0.0,0.0,0.0,SD
2011-06-05,0.0,0.0,0.0,0.0,SD
2011-06-12,0.0,0.0,0.0,0.0,SD
2011-06-19,0.0,0.0,0.0,0.0,SD
2011-06-26,0.0,0.0,0.0,0.0,SD
2011-07-03,0.0,0.0,0.0,0.0,SD
2011-07-10,0.0,0.0,0.0,0.0,SD
2011-07-17,0.0,0.0,0.0,0.0,SD
2011-07-24,0.0,0.0,0.0,0.0,SD
2011-07-31,0.0,0.0,0.0,0.0,SD
2011-08-07,0.0,0.0,0.0,0.0,SD
2011-08-14,0.0,0.0,0.0,0.0,SD
2011-08-21,0.0,0.0,0.0,0.0,SD
2011-08-28,0.0,0.0,0.0,0.0,SD
2011-09-04,0.0,0.0,0.0,0.0,SD
2011-09-11,0.0,0.0,0.0,0.0,SD
2011-09-18,0.0,0.0,0.0,0.0,SD
2011-09-25,0.0,0.0,0.0,0.0,SD
2011-10-02,0.0,0.0,0.0,0.0,SD
