Metric,State,Model,2012-13,2013-14,2014-15,2015-16,2016-17,Whole Period,GFT Period
RMSE,NY,GFT,2.74,0.55,1.158,--,--,1.4669999999999999,1.4669999999999999
RMSE,NY,AR52,0.675,0.501,0.9259999999999999,0.687,2.488,1.087,0.61
RMSE,NY,ARGO,0.695,0.45799999999999996,0.727,0.8390000000000001,1.95,0.914,0.5489999999999999
RMSE,OH,GFT,0.8540000000000001,0.344,0.575,--,--,0.526,0.526
RMSE,OH,AR52,0.601,0.249,0.782,0.289,0.39799999999999996,0.428,0.489
RMSE,OH,ARGO,0.613,0.16,0.51,0.249,0.308,0.345,0.39399999999999996
RMSE,OR,GFT,1.758,0.5379999999999999,0.278,--,--,0.932,0.932
RMSE,OR,AR52,0.7090000000000001,0.752,0.37200000000000005,0.648,0.9009999999999999,0.62,0.5529999999999999
RMSE,OR,ARGO,0.721,0.59,0.41700000000000004,0.5820000000000001,0.843,0.575,0.514
RMSE,PA,GFT,1.3769999999999998,0.35,1.003,--,--,0.841,0.841
RMSE,PA,AR52,0.632,0.325,0.8059999999999999,0.44299999999999995,0.619,0.504,0.52
RMSE,PA,ARGO,0.688,0.309,0.56,0.36,0.433,0.423,0.45899999999999996
RMSE,RI,GFT,3.446,0.36,0.5529999999999999,--,--,1.745,1.745
RMSE,RI,AR52,0.527,0.28800000000000003,0.5770000000000001,0.321,0.102,0.387,0.425
RMSE,RI,ARGO,0.344,0.179,0.29600000000000004,0.165,0.069,0.248,0.254
RMSE,SC,GFT,2.505,0.733,0.8029999999999999,--,--,1.3159999999999998,1.3159999999999998
RMSE,SC,AR52,0.53,0.376,0.7979999999999999,0.693,1.126,0.639,0.502
RMSE,SC,ARGO,0.348,0.27699999999999997,0.354,0.7490000000000001,1.084,0.547,0.28300000000000003
RMSE,SD,GFT,2.575,0.561,1.097,--,--,1.3619999999999999,1.3619999999999999
RMSE,SD,AR52,0.252,0.297,0.35700000000000004,0.308,0.489,0.312,0.276
RMSE,SD,ARGO,0.319,0.254,0.33299999999999996,0.344,0.366,0.293,0.278
RMSE,TN,GFT,3.4139999999999997,0.552,1.053,--,--,1.7080000000000002,1.7080000000000002
RMSE,TN,AR52,1.065,0.853,0.742,0.937,1.124,0.804,0.738
RMSE,TN,ARGO,0.779,0.385,0.764,0.765,0.93,0.643,0.5579999999999999
RMSE,TX,GFT,2.526,1.318,1.8,--,--,1.636,1.636
RMSE,TX,AR52,0.836,1.003,1.5290000000000001,1.097,0.892,0.937,0.977
RMSE,TX,ARGO,0.759,0.9420000000000001,1.4380000000000002,0.759,0.73,0.8370000000000001,0.929
RMSE,UT,GFT,1.102,0.657,0.675,--,--,0.7290000000000001,0.7290000000000001
RMSE,UT,AR52,0.772,0.693,0.531,0.46,0.434,0.529,0.593
RMSE,UT,ARGO,0.835,0.375,0.599,0.45399999999999996,0.505,0.524,0.574
RMSE,VA,GFT,1.328,0.436,1.492,--,--,0.976,0.976
RMSE,VA,AR52,0.7390000000000001,0.28600000000000003,0.9009999999999999,0.391,0.69,0.539,0.5720000000000001
RMSE,VA,ARGO,0.606,0.195,0.469,0.168,0.46,0.36,0.389
RMSE,VT,GFT,1.7930000000000001,0.986,0.981,--,--,1.147,1.147
RMSE,VT,AR52,0.8109999999999999,0.77,0.841,0.5870000000000001,0.29600000000000004,0.63,0.722
RMSE,VT,ARGO,0.6509999999999999,0.701,0.9159999999999999,0.594,0.292,0.618,0.7020000000000001
RMSE,WA,GFT,2.903,0.523,0.321,--,--,1.405,1.405
RMSE,WA,AR52,0.40700000000000003,0.341,0.389,0.392,0.485,0.345,0.321
RMSE,WA,ARGO,0.379,0.265,0.36,0.321,0.513,0.322,0.287
RMSE,WI,GFT,2.98,0.958,1.21,--,--,1.5859999999999999,1.5859999999999999
RMSE,WI,AR52,0.532,0.499,0.8009999999999999,0.38299999999999995,0.428,0.506,0.545
RMSE,WI,ARGO,0.45,0.5870000000000001,0.7959999999999999,0.40299999999999997,0.451,0.505,0.5479999999999999
