Week,LA,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,sinus infection cure,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,how long does flu last,expectorant,how long contagious,how to get rid of the flu,can adults get rsv,rsv in adults,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,type a flu,tamiflu side effects,symptoms of flu,cold,type b flu,cough and fever,flu shots,high fever,symptoms of rsv,flu cold,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,robitussin,rsv treatment,tamiflu dosage,walking pneumonia,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,chest cold,rsv infection,flu like symptoms,flu contagious,is the flu contagious,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,how long is flu contagious,home remedies for flu,flu vaccine,cold vs flu,human temperature,influenza a,influenza b,flu vs cold,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,early flu symptoms,flu type b,flu type a,what is rsv
2012-05-20,1.6554294798,0.00242206422377,0.00585983279944,0.0160950074225,62.6946909971,0.0,0.0,1206.89194181,62.9183210044,104.040756216,0.0,0.0,83.4377235137,999.401051682,0.0,62.4115146865,124.681884784,62.2657223145,0.0,63.0707578815,62.1348838677,0.0,166.259558919,0.0,0.0,0.0,104.040756216,0.0,0.0,62.3783525026,5395.48947327,0.0,62.8993181892,0.0,93.8719955912,0.0,62.2470098495,62.4913908944,229.180576013,0.0,0.0,125.096127721,208.018288501,0.0,0.0,155.780011908,0.0,0.0,83.3745438278,62.1348838677,125.419838919,124.785443422,62.457126905,0.0,0.0,62.4257653657,62.3971638273,0.0,93.3752338904,0.0,62.1909289331,62.2662869453,0.0,249.928268696,93.6743954746,833.436049584,0.0,0.0,62.2286865305,500.50477986,62.1348838677,0.0,1560.65008187,0.0,145.586378981,62.6333026324,125.039552791,251.369514212,0.0,0.0,0.0,0.0,0.0,0.0,62.5102704686,62.7477079013,62.1723709771,0.0,0.0,124.813446443,63.0707578815,62.3971638273,0.0,0.0,0.0,0.0
2012-05-27,0.8447729673,0.00193321616872,0.00509666080844,0.014762741652,68.136280597,0.0,201.303662838,968.605213886,0.0,0.0,68.0540648738,68.0540648738,112.957863009,698.603905943,0.0,0.0,180.02581645,0.0,0.0,0.0,135.220596834,0.0,202.701546527,68.0540648738,67.6877943833,0.0,0.0,0.0,0.0,90.0908956277,5210.26278177,68.0540648738,0.0,0.0,67.5644278739,0.0,67.8105654735,68.136280597,180.481076078,0.0,0.0,0.0,112.576372693,0.0,0.0,134.42220456,0.0,0.0,0.0,0.0,67.2429983521,134.705771612,135.253150791,100.968476784,0.0,67.3649995586,0.0,67.2633011897,134.242876493,0.0,0.0,0.0,0.0,112.787012315,67.4233094639,857.626263996,0.0,0.0,134.526602379,474.226593288,135.220596834,67.6877943833,1712.35812382,0.0,270.278074494,201.972849991,101.882474063,90.1317568296,67.4057650652,0.0,0.0,0.0,0.0,67.7286686553,202.75747266,68.1568655761,0.0,67.7286686553,67.9720473205,225.302002731,0.0,67.6673757425,0.0,68.0540648738,0.0,0.0
2012-06-03,1.6229944868,0.001740051445,0.005220154335,0.0161900438796,0.0,0.0,0.0,782.407706062,0.0,68.4540083541,139.469881637,139.469881637,69.6847027843,575.821455554,0.0,69.3803504541,138.635339867,0.0,0.0,0.0,68.186207539,0.0,160.939627228,0.0,0.0,68.5640286006,68.4540083541,0.0,0.0,136.619094153,5714.30703119,0.0,0.0,0.0,207.245933917,69.7349408187,69.7349408187,0.0,207.482335395,0.0,0.0,69.2795759906,138.101469612,0.0,0.0,137.738777043,0.0,0.0,104.212213652,0.0,69.4954627859,173.675768296,115.076764743,69.4748971334,69.9245524402,69.9879856599,69.8612341012,68.3713843247,68.2067331884,0.0,92.0377111661,0.0,0.0,207.054520373,69.4326088738,990.875190438,0.0,0.0,68.4126713925,438.213087571,68.186207539,0.0,1196.85569927,0.0,138.052870688,103.474064248,0.0,273.485537299,70.03033845,0.0,0.0,0.0,69.1959050051,0.0,68.2683843483,69.7559579799,0.0,0.0,69.0499660671,103.068270369,69.2861856008,68.3507594727,68.3507594727,0.0,0.0,0.0
2012-06-10,1.3967048613,0.000706325537592,0.00455187568671,0.0152252393659,65.8919977489,0.0,0.0,978.450618423,0.0,97.8135419246,65.2090974382,65.2090974382,97.8629870401,543.496625014,0.0,64.5957505344,131.426749727,0.0,0.0,0.0,0.0,0.0,229.126089276,0.0,0.0,0.0,97.8135419246,0.0,0.0,65.1894561438,4658.16515742,0.0,0.0,0.0,108.751527122,65.9517546997,0.0,65.3666549071,174.170584558,0.0,0.0,65.4158518588,152.208825158,0.0,0.0,130.221783028,0.0,0.0,97.8429059547,65.8323489881,97.5524135332,86.9409649984,129.777492153,65.1306031892,0.0,65.4457195033,65.3271942039,0.0,65.6738123259,0.0,65.1959709971,65.3864031413,0.0,87.0655599873,0.0,784.00470688,0.0,0.0,0.0,413.918411418,0.0,0.0,934.932080355,0.0,163.645637533,0.0,0.0,228.467031213,0.0,0.0,0.0,0.0,0.0,0.0,65.7331740122,0.0,0.0,0.0,0.0,130.339653356,64.712630662,65.8124900593,0.0,0.0,0.0,0.0
2012-06-17,1.2433606953,0.000391083300743,0.00383261634728,0.0141572154869,0.0,0.0,0.0,952.690309049,0.0,59.5557919104,59.7777622259,59.7777622259,59.9464368569,715.031855658,0.0,59.2051311318,59.5060649236,0.0,0.0,0.0,59.7356101227,0.0,178.721740016,0.0,59.3480523898,0.0,59.5557919104,0.0,0.0,0.0,5486.96018145,0.0,0.0,59.365966079,139.112806721,0.0,59.5593179737,0.0,238.575239777,0.0,0.0,59.8138054952,59.4873918403,0.0,0.0,89.1056050795,0.0,0.0,89.7842341178,0.0,0.0,59.699559664,99.4506388644,59.8259270415,0.0,59.727862567,0.0,59.3480523898,0.0,0.0,59.6667722875,0.0,0.0,119.305541402,59.6275891279,676.23143828,0.0,0.0,59.765651907,497.228122064,59.7356101227,59.3480523898,1310.69983525,0.0,178.709502611,59.7761311753,118.731932158,99.204817183,0.0,0.0,0.0,0.0,59.8860225861,59.3838905857,59.2586458632,59.5260409317,0.0,59.3838905857,59.7417623691,119.483524738,0.0,59.6635526919,0.0,0.0,0.0,0.0
2012-06-24,1.1914592427,0.000311647837943,0.00373977405532,0.0140241527074,71.1872662966,0.0,0.0,688.334758057,71.3335753474,142.203151874,0.0,0.0,71.4235538385,451.240049562,0.0,71.1440806868,142.159613507,0.0,0.0,0.0,0.0,71.2725982598,177.909629414,0.0,0.0,70.9725933362,142.203151874,0.0,0.0,71.1830372023,5938.8276053,0.0,0.0,0.0,71.1762095661,0.0,71.2820161412,0.0,213.793480051,0.0,0.0,0.0,213.378661641,0.0,71.1830372023,189.419304257,0.0,0.0,142.977631975,0.0,71.2080981708,71.2295852252,0.0,71.1015759369,0.0,71.3372153026,71.1866240761,0.0,71.0758983745,0.0,0.0,0.0,0.0,95.0168913895,142.373870678,831.600744468,0.0,0.0,0.0,499.318028809,0.0,0.0,1186.43199521,0.0,106.696834471,71.5317713443,0.0,71.217046057,0.0,0.0,0.0,0.0,0.0,0.0,71.1401429346,0.0,0.0,0.0,142.244558865,71.1741248192,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,1.1674386143,0.000876509544215,0.00418776782236,0.0155823918972,0.0,0.0,48.3993006256,677.340347099,48.6519609216,48.2210433705,48.4900048166,48.4900048166,0.0,613.105476557,0.0,48.256131505,112.752259068,0.0,0.0,48.7698336313,0.0,0.0,80.605451085,0.0,0.0,0.0,48.2210433705,0.0,0.0,48.2646166024,5231.99701548,0.0,0.0,48.6079054182,112.961194659,0.0,48.6813756501,0.0,242.297788414,0.0,48.5779596992,48.3082686524,48.4534416904,0.0,0.0,96.6060728143,0.0,0.0,64.6587750584,0.0,80.707451615,48.3904189114,97.0973697968,0.0,0.0,48.5455795942,0.0,48.4461599068,0.0,48.5639296292,48.4503899404,0.0,0.0,72.7679338919,96.7174674314,727.245277013,0.0,0.0,0.0,355.786117505,0.0,0.0,1161.38344414,48.3374139126,96.7467225678,48.5778390484,48.6079054182,96.7711930417,0.0,0.0,0.0,0.0,0.0,0.0,72.5143818766,0.0,48.5043476126,0.0,48.2500834448,96.5498224368,48.3915834783,0.0,0.0,0.0,0.0,0.0
2012-07-08,1.177849038,0.000228920259443,0.00213658908813,0.0115223197253,0.0,45.3744214895,45.1833712938,894.187492257,0.0,45.9073106805,45.3261254662,45.3261254662,60.7101111482,712.693863723,45.4493687076,45.3534550564,113.710260374,0.0,0.0,0.0,0.0,0.0,136.247645736,45.4356419276,45.3707627793,68.2083814291,45.9073106805,0.0,0.0,90.6048048073,5721.66441251,0.0,0.0,91.7314810459,166.775610707,0.0,181.304501865,45.4356419276,197.272487123,45.2988287932,45.3534550564,45.6497131293,136.443667462,0.0,0.0,136.201907169,0.0,0.0,45.5706065187,0.0,68.3249219359,45.7414805396,91.0381441482,45.3504878448,0.0,45.6910125532,45.8242455828,114.110247948,45.3261254662,45.347029747,0.0,0.0,0.0,228.093399128,45.2786948619,865.71311684,0.0,0.0,45.4219234366,471.012367873,0.0,45.3707627793,1091.50750989,45.3808176236,90.9136702869,91.2252663832,91.0920856406,45.3060040868,45.6393508621,0.0,0.0,0.0,75.8575252559,0.0,45.5025972503,0.0,0.0,0.0,90.5976575864,121.254815655,45.4768471651,0.0,0.0,0.0,0.0,0.0
2012-07-15,1.0607675906,0.000159821000479,0.00287677800863,0.0115870225348,0.0,0.0,0.0,982.406030532,0.0,44.6391395671,44.729954681,44.729954681,74.6220220925,476.283936402,44.5115845596,59.4753746979,59.4708802662,0.0,0.0,0.0,0.0,44.6191004644,118.821128561,0.0,44.6191004644,0.0,44.6391395671,0.0,0.0,44.6434905922,5855.69308235,0.0,0.0,44.6637448622,200.815669443,0.0,44.6929595962,44.6325764838,342.738693299,0.0,67.0599605285,89.4895595575,89.3790353751,44.7177354876,0.0,59.4351378754,0.0,0.0,67.2673607033,0.0,44.7209583609,44.5674731708,111.612737805,89.3731241234,44.904681724,0.0,0.0,0.0,89.0812182245,0.0,0.0,44.904681724,44.7636622365,134.141632823,44.6805113005,685.761105166,0.0,0.0,44.6772302924,387.782938992,0.0,44.6191004644,1384.19470523,89.5898519176,111.686651033,178.816902391,67.1084531581,111.539546887,44.9726161895,0.0,0.0,0.0,66.8916273646,0.0,44.7964124492,44.6460606459,0.0,0.0,0.0,133.933857836,0.0,44.5652776653,0.0,0.0,0.0,0.0
2012-07-22,0.9880028229,0.000155291559904,0.00411522633745,0.0136656572715,0.0,0.0,0.0,856.165085402,0.0,44.4120905968,44.3000661318,44.3000661318,118.351173021,502.093176862,44.1900583079,0.0,66.5034032842,0.0,0.0,0.0,88.8653125483,0.0,162.220652875,0.0,44.2497294934,44.3664243466,44.4120905968,0.0,0.0,59.0615263114,5735.97704355,0.0,0.0,0.0,66.377951961,44.5002193536,44.5002193536,88.5833202022,206.887094925,0.0,0.0,0.0,147.691680903,0.0,0.0,176.833769803,0.0,0.0,66.4904685652,0.0,73.8169660577,66.304625489,44.6213266939,44.035204242,44.2965081386,44.3232936378,0.0,44.3584851767,88.5801091462,0.0,44.3664243466,44.5539635799,0.0,88.6524961211,177.213571669,931.795161216,0.0,0.0,0.0,310.79956645,88.8653125483,44.2497294934,1151.8220112,0.0,147.607099442,59.2491242622,66.7041986571,118.096539004,44.5808844038,0.0,0.0,0.0,88.4500721273,0.0,66.2979182446,0.0,0.0,0.0,0.0,118.096421177,44.5196910586,44.5002193536,0.0,0.0,0.0,0.0
