Week Start Date,Year,MMWR Week,State,Visit Count,Flu Vaccine Visit Count,Flu Visit Count,ILI Visit Count,CDC ILI Visit Count,Unspecified Viral or ILI Visit Count
06/28/2009,2009,26,AL,1035,0,0,1,1,3
06/28/2009,2009,26,ALL STATES,211195,17,381,960,592,2384
06/28/2009,2009,26,AR,735,0,0,0,0,1
06/28/2009,2009,26,AZ,6537,0,0,1,1,20
06/28/2009,2009,26,CA,4505,0,10,14,4,43
06/28/2009,2009,26,CO,1116,0,1,1,0,3
06/28/2009,2009,26,CT,2297,0,3,20,17,47
06/28/2009,2009,26,DE,334,0,0,0,0,0
06/28/2009,2009,26,FL,7044,0,21,71,51,120
06/28/2009,2009,26,GA,13195,0,5,42,37,86
06/28/2009,2009,26,IA,45,0,0,1,1,1
06/28/2009,2009,26,IL,16682,0,14,33,19,114
06/28/2009,2009,26,IN,97,0,0,0,0,0
06/28/2009,2009,26,KS,3351,0,1,3,2,13
06/28/2009,2009,26,KY,5810,0,1,16,15,63
06/28/2009,2009,26,LA,6389,1,12,34,22,81
06/28/2009,2009,26,MA,31639,1,91,245,158,598
06/28/2009,2009,26,MD,3928,0,13,17,4,52
06/28/2009,2009,26,MI,2131,0,1,2,1,10
06/28/2009,2009,26,MO,2006,0,1,2,1,25
06/28/2009,2009,26,MS,3071,0,7,16,9,31
06/28/2009,2009,26,NC,4786,0,5,59,55,102
06/28/2009,2009,26,NH,104,0,0,1,1,2
06/28/2009,2009,26,NJ,4084,0,18,22,4,132
06/28/2009,2009,26,NM,2951,12,7,8,1,19
06/28/2009,2009,26,NV,117,0,0,2,2,2
06/28/2009,2009,26,NY,7369,1,19,29,11,137
06/28/2009,2009,26,OH,32377,1,16,83,67,191
06/28/2009,2009,26,OK,1869,0,2,8,6,15
06/28/2009,2009,26,OR,2268,0,2,2,0,7
06/28/2009,2009,26,PA,6810,1,19,24,5,73
06/28/2009,2009,26,RI,2866,0,18,36,18,78
06/28/2009,2009,26,SC,4204,0,8,37,30,62
06/28/2009,2009,26,TN,6244,0,1,5,4,17
06/28/2009,2009,26,TX,9270,0,13,22,9,50
06/28/2009,2009,26,UT,1316,0,54,69,18,117
06/28/2009,2009,26,VA,10915,0,11,26,17,46
06/28/2009,2009,26,WA,930,0,3,3,0,6
06/28/2009,2009,26,WI,1,0,0,0,0,0
06/28/2009,2009,26,WV,404,0,4,4,0,10
06/28/2009,2009,26,WY,363,0,0,1,1,7
07/05/2009,2009,27,AL,1217,0,1,2,1,3
07/05/2009,2009,27,ALL STATES,247693,8,285,887,606,2518
07/05/2009,2009,27,AR,693,0,0,3,3,7
07/05/2009,2009,27,AZ,7472,0,1,2,1,14
07/05/2009,2009,27,CA,4532,0,9,12,3,36
07/05/2009,2009,27,CO,1245,0,0,3,3,7
07/05/2009,2009,27,CT,2747,0,6,22,16,46
07/05/2009,2009,27,DE,313,0,0,1,1,1
07/05/2009,2009,27,FL,8198,0,33,62,29,120
07/05/2009,2009,27,GA,16075,0,7,55,49,118
07/05/2009,2009,27,IA,117,0,0,0,0,0
07/05/2009,2009,27,IL,20292,0,11,32,21,141
07/05/2009,2009,27,IN,119,0,0,0,0,0
07/05/2009,2009,27,KS,3913,0,1,6,5,17
07/05/2009,2009,27,KY,6181,0,1,11,10,59
07/05/2009,2009,27,LA,7378,0,2,35,33,128
07/05/2009,2009,27,MA,36199,0,67,214,148,581
07/05/2009,2009,27,MD,4351,0,2,9,7,48
07/05/2009,2009,27,MI,2203,0,2,6,4,18
07/05/2009,2009,27,MO,2481,0,1,3,2,31
07/05/2009,2009,27,MS,3847,0,7,16,9,43
07/05/2009,2009,27,NC,5716,0,1,61,60,97
07/05/2009,2009,27,NH,149,0,0,0,0,0
07/05/2009,2009,27,NJ,4776,0,9,12,3,121
07/05/2009,2009,27,NM,3228,1,2,3,1,15
07/05/2009,2009,27,NV,102,0,2,2,0,2
07/05/2009,2009,27,NY,7767,1,15,27,12,149
07/05/2009,2009,27,OH,41161,0,11,94,83,266
07/05/2009,2009,27,OK,2371,0,0,14,14,16
07/05/2009,2009,27,OR,2215,0,0,2,2,3
07/05/2009,2009,27,PA,8252,0,19,26,7,76
07/05/2009,2009,27,RI,3378,0,11,17,7,75
07/05/2009,2009,27,SC,4520,0,2,25,23,52
07/05/2009,2009,27,TN,7892,1,0,11,11,25
07/05/2009,2009,27,TX,11289,5,16,24,8,48
07/05/2009,2009,27,UT,1393,0,24,40,17,70
07/05/2009,2009,27,VA,12221,0,16,26,10,66
07/05/2009,2009,27,WA,1048,0,1,2,1,4
07/05/2009,2009,27,WV,259,0,5,5,0,8
07/05/2009,2009,27,WY,383,0,0,2,2,7
07/12/2009,2009,28,AL,1149,0,1,7,6,9
07/12/2009,2009,28,ALL STATES,246417,8,325,927,609,2424
07/12/2009,2009,28,AR,558,0,3,8,5,11
07/12/2009,2009,28,AZ,7866,0,2,5,3,15
07/12/2009,2009,28,CA,4520,0,17,20,3,36
07/12/2009,2009,28,CO,1386,0,0,1,1,4
07/12/2009,2009,28,CT,2695,0,3,22,19,48
07/12/2009,2009,28,DE,266,0,0,0,0,1
07/12/2009,2009,28,FL,8098,0,50,93,43,166
07/12/2009,2009,28,GA,15655,0,4,42,38,84
07/12/2009,2009,28,IA,105,0,0,0,0,0
07/12/2009,2009,28,IL,20158,0,8,22,14,131
07/12/2009,2009,28,IN,101,0,0,0,0,0
07/12/2009,2009,28,KS,4215,0,1,3,2,20
07/12/2009,2009,28,KY,5785,0,3,19,16,69
07/12/2009,2009,28,LA,7918,1,14,40,26,123
07/12/2009,2009,28,MA,36874,1,35,181,147,477
07/12/2009,2009,28,MD,4246,0,13,22,9,51
07/12/2009,2009,28,MI,2571,0,1,4,3,14
07/12/2009,2009,28,MO,2187,0,8,10,3,34
07/12/2009,2009,28,MS,3940,0,19,30,13,55
07/12/2009,2009,28,NC,5818,1,10,63,54,84
07/12/2009,2009,28,NH,143,0,0,0,0,0
07/12/2009,2009,28,NJ,4787,0,16,22,6,134
07/12/2009,2009,28,NM,3333,0,1,5,4,12
07/12/2009,2009,28,NV,89,0,0,0,0,0
07/12/2009,2009,28,NY,7454,0,3,7,4,119
07/12/2009,2009,28,OH,40920,2,11,96,85,267
07/12/2009,2009,28,OK,2249,0,1,7,6,7
07/12/2009,2009,28,OR,2093,0,0,0,0,5
07/12/2009,2009,28,PA,7486,0,12,18,6,69
07/12/2009,2009,28,RI,3237,0,4,11,7,42
07/12/2009,2009,28,SC,4560,1,8,29,21,65
07/12/2009,2009,28,TN,7701,2,3,11,8,31
07/12/2009,2009,28,TX,11018,0,17,37,20,69
07/12/2009,2009,28,UT,1092,0,17,24,9,51
07/12/2009,2009,28,VA,12489,0,14,39,25,79
07/12/2009,2009,28,WA,1029,0,4,7,3,10
07/12/2009,2009,28,WV,238,0,20,20,0,28
07/12/2009,2009,28,WY,388,0,2,2,0,4
07/19/2009,2009,29,AL,1161,0,1,4,3,5
07/19/2009,2009,29,ALL STATES,246025,5,267,756,502,2192
07/19/2009,2009,29,AR,711,0,0,2,2,5
07/19/2009,2009,29,AZ,8002,0,2,7,5,18
07/19/2009,2009,29,CA,4830,1,7,11,4,29
