Week,SD,athena_flu,athena_ILI,athena_viral,influenza b symptoms,strep,flu how long,how long flu,strep throat,expectorant,influenza a treatment,rsv in adults,influenza a symptoms,flu symptoms,cold and flu,tamiflu side effects,cold,flu shots,symptoms of rsv,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,rsv baby,flu shot,symptoms of influenza,symptoms of influenza b,rsv,pneumonia,bronchitis,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,a influenza,influenza a,influenza b,cold symptoms,symptoms of the flu,what is rsv
2009-12-13,0.68119891,,,,0.0,958.708282847,619.110463756,619.110463756,1278.21308889,0.0,0.0,0.0,0.0,620.04370232,641.890653068,0.0,11795.270154,619.110463756,0.0,0.0,0.0,621.16730915,620.979758634,0.0,0.0,0.0,1266.59766094,0.0,0.0,1052.39725892,0.0,0.0,632.154659142,1474.26085215,642.277800627,2535.95569765,1054.11248029,0.0,0.0,0.0,0.0,1273.59146778,0.0,0.0,618.924153053,618.924153053,0.0,0.0
2009-12-20,0.373134328,,,,0.0,759.662001992,0.0,0.0,762.993640899,0.0,0.0,0.0,0.0,757.546193115,0.0,0.0,6572.9679281,754.63954623,0.0,0.0,0.0,757.03811845,0.0,0.0,0.0,0.0,760.699729664,0.0,0.0,757.830656934,0.0,0.0,757.77012355,0.0,756.234978674,763.917641675,759.257711562,0.0,763.917641675,757.268898695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-27,0.936329588,,,,0.0,780.193782574,0.0,0.0,1171.17546169,0.0,0.0,0.0,0.0,781.122952298,0.0,0.0,7546.73886233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.067700836,775.235223764,0.0,0.0,786.857768055,0.0,0.0,782.119440859,784.25384644,0.0,2089.68735762,0.0,0.0,0.0,0.0,0.0,782.945779946,0.0,0.0,0.0,787.33306722,0.0,0.0
2010-01-03,0.746268657,,,,0.0,637.029228857,0.0,0.0,636.890734754,629.337437435,0.0,0.0,0.0,1279.5659873,0.0,0.0,12718.6148248,0.0,0.0,0.0,640.143262433,628.009721322,0.0,0.0,0.0,0.0,639.431192337,0.0,0.0,0.0,0.0,0.0,642.07547874,632.436513946,639.782964565,1276.5635122,638.466158844,0.0,0.0,0.0,0.0,636.7364191,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,0.610820244,,,,0.0,1044.17792962,0.0,0.0,633.159052715,0.0,0.0,0.0,0.0,627.130126493,0.0,0.0,7507.37341592,1254.63872621,0.0,1236.88400008,0.0,618.069220054,0.0,624.402966051,0.0,0.0,628.457185406,0.0,0.0,618.255553856,0.0,0.0,936.652680476,1042.2285209,631.631067067,1046.32570426,625.912554567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-17,0.388349515,,,,604.112751998,1192.87964927,0.0,0.0,1492.51886606,0.0,0.0,0.0,0.0,588.002509937,596.261316868,0.0,7165.47697882,0.0,0.0,596.827116212,0.0,0.0,605.207159158,0.0,0.0,603.567031355,0.0,0.0,0.0,0.0,0.0,0.0,596.34859184,993.916465371,587.825187105,1397.67434707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,1.461988304,,,,0.0,587.196979882,0.0,0.0,783.106642654,0.0,0.0,0.0,0.0,594.053827784,0.0,0.0,6251.50835641,0.0,580.792420237,1186.67447384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.158359247,0.0,0.0,781.159592388,976.539273852,594.233246035,2975.65982701,581.493648634,0.0,0.0,587.353599552,0.0,592.622372777,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-31,2.97219559,,,,0.0,1452.76923367,0.0,0.0,581.371194682,0.0,0.0,576.463628831,0.0,0.0,583.466058728,0.0,7938.23171231,0.0,576.290099743,870.835944396,0.0,0.0,0.0,576.984843685,0.0,0.0,1170.45972362,0.0,582.095395687,0.0,0.0,0.0,2320.66299892,1162.96058939,0.0,1166.30148504,584.346629297,0.0,0.0,576.984843685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-07,0.279069767,,,,0.0,1190.00008915,595.211579593,595.211579593,892.321672656,0.0,0.0,0.0,0.0,591.163209399,0.0,0.0,7524.76087069,0.0,596.828514159,594.518721898,0.0,597.189026701,0.0,0.0,0.0,0.0,597.73061288,0.0,0.0,0.0,0.0,0.0,3363.35942838,1782.6070337,593.194119396,2583.25274992,891.154019688,0.0,0.0,592.647853138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.057072687
2010-02-14,1.971326165,,,,0.0,2637.38819965,0.0,0.0,1015.48424089,0.0,0.0,0.0,0.0,606.807310895,0.0,0.0,9113.87991558,0.0,606.053336527,0.0,0.0,0.0,0.0,605.870680308,0.0,608.97391142,609.000039834,0.0,0.0,0.0,0.0,0.0,1823.12996087,2430.78169684,810.401481769,1219.4651166,608.113834033,610.260217208,0.0,606.963493345,0.0,0.0,0.0,0.0,0.0,607.877302564,0.0,0.0
2010-02-21,1.869158879,,,,0.0,2111.90977877,0.0,0.0,1536.94185148,575.509925751,0.0,0.0,0.0,0.0,0.0,0.0,6709.40852437,0.0,576.684041304,575.988612855,0.0,0.0,0.0,0.0,0.0,575.294859633,577.555691911,0.0,576.510026808,0.0,0.0,0.0,2490.28491177,1726.07060933,958.494042961,1345.73107531,576.20603694,0.0,575.509925751,574.627444411,0.0,0.0,0.0,0.0,0.0,574.948609341,0.0,0.0
2010-02-28,1.401273885,,,,0.0,877.647033195,0.0,0.0,878.000550404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6614.65958405,0.0,583.759966362,583.056004992,0.0,583.669193583,0.0,583.115495761,582.790967291,0.0,1169.28462428,0.0,582.764221366,583.845156559,0.0,0.0,2137.48638579,1555.90768217,875.112223243,1561.43410988,0.0,0.0,0.0,584.348298078,583.407773321,582.413369939,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-07,0.754716981,,,,0.0,1013.75759538,0.0,0.0,2439.10095412,603.81175346,0.0,1221.17434077,0.0,608.006973117,605.279433164,0.0,7082.59978777,0.0,0.0,0.0,0.0,0.0,0.0,1222.2784767,0.0,610.771082183,0.0,0.0,0.0,605.452051009,0.0,0.0,1823.38043007,1822.64400184,1011.67683591,812.048307641,605.452051009,0.0,0.0,606.089292556,0.0,610.771082183,0.0,0.0,0.0,602.7293543,0.0,0.0
2010-03-14,1.108269395,,,,0.0,1214.76288775,0.0,0.0,911.140837533,603.900433447,0.0,0.0,0.0,603.71809636,0.0,0.0,6661.08973463,0.0,0.0,602.989847751,0.0,602.6263819,0.0,0.0,0.0,0.0,609.694295088,0.0,0.0,0.0,0.0,0.0,1508.27990544,1206.34349028,607.076112162,2836.74157199,0.0,0.0,610.617235286,602.6263819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
