Week,NE,athena_flu,athena_ILI,athena_viral,thermoscan,influenza b symptoms,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,ear thermometer,expectorant,how long contagious,influenza a treatment,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,symptoms of rsv,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,symptoms of influenza,symptoms of influenza b,what is influenza,rsv,pneumonia,influenza a incubation period,bronchitis,cough fever,flu and cold,sinus,how to break a fever,what is influenza b,the flu,what is influenza a,flu a,normal body temperature,how long does influenza last,gripe,rsv symptoms,oseltamivir,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv,incubation period for influenza
2009-12-13,2.049731183,,,,0.0,0.0,320.443778247,0.0,643.666259185,643.666259185,0.0,639.249053911,0.0,0.0,320.407822219,0.0,0.0,0.0,0.0,0.0,534.230405492,0.0,0.0,0.0,321.405285651,0.0,319.767940087,9837.35918846,0.0,0.0,0.0,640.177553173,0.0,0.0,320.361362747,0.0,320.630581738,0.0,319.6075848,319.47916706,0.0,0.0,322.516634419,0.0,641.917166089,0.0,0.0,0.0,0.0,479.768373796,963.746664132,0.0,484.923307444,0.0,0.0,1279.0651877,0.0,0.0,748.66936206,0.0,320.764884443,319.737485828,0.0,319.703707382,0.0,0.0,320.634722761,0.0,0.0,0.0,0.0,0.0,0.0,319.448305105,320.668122789,0.0,0.0,0.0
2009-12-20,1.288244767,,,,0.0,0.0,969.760182498,0.0,412.987469954,412.987469954,415.259660492,414.619737535,0.0,0.0,825.228127123,0.0,0.0,0.0,0.0,0.0,553.217488437,0.0,0.0,0.0,0.0,0.0,0.0,6500.02964579,0.0,412.987469954,0.0,415.126601039,417.13629109,0.0,0.0,416.011488483,0.0,0.0,0.0,412.117237477,0.0,0.0,0.0,0.0,828.223510525,0.0,0.0,0.0,415.76057685,829.408759764,831.371920998,0.0,835.536631547,0.0,0.0,415.444114033,0.0,0.0,413.745293731,0.0,0.0,0.0,0.0,414.627200617,416.447300638,0.0,415.877961403,0.0,0.0,0.0,0.0,0.0,416.003452641,415.635234499,0.0,0.0,0.0,0.0
2009-12-27,4.262516915,,,,0.0,0.0,989.948090334,0.0,0.0,0.0,0.0,1055.18137866,0.0,0.0,420.604391137,0.0,0.0,0.0,0.0,0.0,989.010432361,0.0,0.0,0.0,0.0,0.0,423.54825333,8911.66714601,423.446444732,841.97005719,0.0,423.388077014,0.0,0.0,0.0,0.0,0.0,0.0,421.366355614,1272.83967376,0.0,0.0,0.0,0.0,854.872026057,0.0,0.0,0.0,0.0,420.858072917,566.479012877,0.0,426.895107051,0.0,0.0,564.388868327,0.0,0.0,564.77380566,0.0,427.178055265,420.858072917,0.0,0.0,0.0,0.0,421.620957641,0.0,0.0,0.0,0.0,0.0,0.0,427.178055265,0.0,420.604391137,0.0,0.0
2010-01-03,3.467336683,,,,0.0,0.0,334.792645006,0.0,0.0,0.0,0.0,336.826456958,0.0,0.0,333.928239631,0.0,0.0,0.0,0.0,0.0,670.159587638,501.785161713,0.0,0.0,0.0,0.0,335.42237662,13866.2865843,0.0,0.0,0.0,335.583059454,0.0,0.0,337.334951005,334.742148392,0.0,0.0,0.0,333.641477935,0.0,0.0,335.154362508,0.0,502.290036985,0.0,0.0,0.0,0.0,782.340849164,1008.53199286,0.0,336.05323752,0.0,501.785161713,1845.57423804,0.0,0.0,502.597260995,0.0,0.0,673.856066181,0.0,0.0,0.0,0.0,337.53877877,0.0,336.623488318,0.0,336.623488318,0.0,0.0,334.633579908,335.523666512,0.0,0.0,0.0
2010-01-10,0.66096423,,,,0.0,0.0,740.686608481,318.090015385,0.0,0.0,636.180030771,635.31802673,0.0,314.181218254,318.280363755,0.0,0.0,0.0,0.0,0.0,528.332280109,0.0,0.0,318.090015385,0.0,0.0,0.0,7081.11273233,0.0,0.0,0.0,0.0,0.0,314.560549637,0.0,0.0,0.0,318.472678174,0.0,476.224031361,0.0,0.0,315.131267296,0.0,316.93553536,0.0,0.0,0.0,0.0,738.964127348,423.624261832,0.0,424.846572321,0.0,0.0,1476.27641997,0.0,0.0,941.975686304,0.0,314.181218254,0.0,0.0,0.0,0.0,0.0,633.20116036,0.0,0.0,0.0,0.0,0.0,314.181218254,316.313991599,0.0,0.0,318.858813006,0.0
2010-01-17,3.020792468,,,,0.0,0.0,1034.69085164,0.0,310.152713939,310.152713939,310.892216698,413.384336643,0.0,309.517995424,309.872286531,0.0,0.0,0.0,0.0,0.0,621.794588921,0.0,310.152713939,0.0,0.0,0.0,309.087653847,6929.7448656,0.0,310.152713939,0.0,621.222749175,309.611590222,0.0,0.0,308.957612813,0.0,309.685616478,308.213584848,309.407354285,0.0,0.0,0.0,312.304079626,310.342358816,0.0,0.0,0.0,0.0,826.206367528,829.142726306,0.0,622.42341246,0.0,0.0,1650.64080133,0.0,0.0,0.0,0.0,0.0,312.398659905,0.0,308.67818175,0.0,0.0,622.347134241,0.0,309.778923383,0.0,309.778923383,0.0,0.0,311.267463791,0.0,0.0,308.67818175,0.0
2010-01-24,1.681345076,,,,0.0,0.0,1311.6158529,301.748755233,455.190537334,455.190537334,0.0,604.791160309,0.0,301.216821295,0.0,0.0,0.0,0.0,0.0,0.0,604.882014971,0.0,0.0,301.748755233,0.0,0.0,303.224741548,6151.41752297,0.0,0.0,0.0,603.890115586,0.0,0.0,0.0,302.386701862,0.0,0.0,452.953846165,605.901981306,300.763454617,0.0,0.0,302.036335017,302.219055123,0.0,0.0,0.0,0.0,1712.21545676,1063.04409706,0.0,607.546487903,0.0,0.0,1308.36601064,0.0,0.0,403.063422685,0.0,0.0,0.0,0.0,302.127667444,301.801157387,0.0,0.0,0.0,603.315679339,0.0,603.315679339,0.0,0.0,454.137618597,302.58248494,0.0,0.0,0.0
2010-01-31,2.887537994,,,,298.935542789,0.0,901.365999579,0.0,0.0,0.0,0.0,694.799669503,0.0,0.0,0.0,0.0,0.0,0.0,296.559756906,0.0,496.434917624,0.0,0.0,0.0,0.0,0.0,294.040376761,6364.37196125,0.0,298.75518952,0.0,445.451114964,0.0,299.535373273,0.0,0.0,0.0,0.0,299.959138585,300.410748248,0.0,0.0,0.0,0.0,299.568497659,0.0,0.0,0.0,0.0,1190.78502602,1295.14507869,0.0,895.491911113,296.559756906,0.0,793.608358536,0.0,0.0,600.429603611,0.0,298.575053741,294.57273713,0.0,0.0,298.250410932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.425317547,0.0,0.0,0.0,0.0
2010-02-07,4.468546638,,,,0.0,0.0,1209.99057659,0.0,0.0,0.0,0.0,905.929258109,0.0,0.0,303.047514495,0.0,0.0,0.0,0.0,0.0,603.035500539,303.486040453,300.202237845,0.0,302.773263351,0.0,299.840439426,7354.94497648,0.0,0.0,0.0,301.953480147,0.0,0.0,0.0,0.0,299.840439426,0.0,302.135270321,302.399347914,0.0,0.0,0.0,0.0,303.358165678,0.0,0.0,0.0,0.0,1609.31032163,756.124041633,0.0,506.136426532,0.0,303.486040453,1306.58854535,0.0,0.0,756.868054094,0.0,606.78892699,302.864625229,0.0,300.928460374,606.461249551,0.0,301.972528174,0.0,0.0,303.047514495,0.0,0.0,0.0,0.0,299.750126041,0.0,300.983235395,0.0
2010-02-14,4.686289698,,,,0.0,0.0,912.956874901,304.160836516,0.0,0.0,303.794377677,1112.65587753,0.0,0.0,304.528180521,0.0,304.160836516,0.0,0.0,0.0,301.970802358,305.87228007,0.0,304.160836516,301.879600062,0.0,0.0,7907.68581348,0.0,0.0,0.0,760.494248111,300.879998737,301.697360641,0.0,303.496343879,0.0,0.0,303.611479195,404.194276667,305.135460365,0.0,0.0,0.0,0.0,305.265536891,0.0,0.0,0.0,606.946657789,1218.54386161,0.0,610.71591516,0.0,305.87228007,1820.04899176,0.0,0.0,809.79464576,0.0,303.015229837,0.0,0.0,0.0,0.0,0.0,301.970802358,0.0,302.83244238,0.0,302.83244238,0.0,0.0,454.042739139,301.061251748,0.0,0.0,0.0
