Week,WV,athena_flu,athena_ILI,athena_viral,how long is the flu contagious,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,rsv in adults,influenza a symptoms,flu symptoms,cold and flu,acute bronchitis,fever flu,type a flu,tamiflu side effects,symptoms of flu,cold,type b flu,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,tamiflu dosage,walking pneumonia,incubation period for flu,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,rsv,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,influenza a,influenza b,flu medicine,cold symptoms,symptoms of the flu,flu type a,what is rsv
2009-12-13,2.569363032,0.107142857143,0.107142857143,0.123626373626,0.0,1776.28289914,0.0,0.0,0.0,0.0,1015.985495,0.0,0.0,0.0,1532.96418457,0.0,752.065124551,0.0,0.0,0.0,759.940720581,8641.97607423,0.0,0.0,0.0,769.855194213,0.0,760.514174293,0.0,0.0,0.0,768.898541367,0.0,768.202495614,769.15786161,0.0,0.0,0.0,0.0,752.97478905,0.0,768.434370802,2031.50174379,0.0,0.0,0.0,1138.1967259,0.0,0.0,3079.25251671,0.0,1519.43622826,770.553792393,0.0,0.0,0.0,0.0,1535.01541783,0.0,0.0,0.0,0.0,766.381118427,0.0,0.0
2009-12-20,2.794583693,0.0813397129187,0.0813397129187,0.0813397129187,0.0,1145.59400436,0.0,1148.55427376,1148.55427376,0.0,1149.78748146,0.0,0.0,0.0,1148.21168648,0.0,0.0,0.0,0.0,0.0,0.0,7660.54297595,0.0,0.0,0.0,1150.82613321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142.8393449,1148.71740616,0.0,0.0,0.0,1152.56139577,0.0,0.0,2870.83018286,0.0,2287.05353412,0.0,0.0,0.0,0.0,0.0,1149.75098291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-27,2.873308187,0.268156424581,0.268156424581,0.268156424581,0.0,2157.87934567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1433.62570023,0.0,0.0,0.0,0.0,0.0,1093.10933021,9693.20697605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2144.06592371,0.0,0.0,1602.22359711,0.0,0.0,0.0,1075.43754059,1793.76008543,0.0,0.0,0.0,2188.85583613,0.0,0.0,2674.51257629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.74969091,0.0,0.0
2010-01-03,2.471229558,0.0736543909348,0.0736543909348,0.0793201133144,0.0,853.006674866,0.0,0.0,0.0,2573.99281102,857.738780866,851.480187862,0.0,0.0,2542.90636477,0.0,0.0,0.0,0.0,0.0,0.0,11658.3866895,0.0,849.33129506,0.0,0.0,852.148739042,0.0,0.0,852.405797486,0.0,856.189117305,849.681647935,0.0,0.0,0.0,0.0,0.0,0.0,850.914891509,0.0,850.401130606,2556.44492322,0.0,0.0,0.0,850.353661951,0.0,0.0,1424.45462026,0.0,2564.95481271,848.65731804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.09783955,0.0,0.0
2010-01-10,1.793767938,0.0426439232409,0.0426439232409,0.0490405117271,0.0,733.760101823,742.590075238,0.0,0.0,747.983146441,0.0,0.0,0.0,0.0,741.245815027,747.533231767,0.0,742.590075238,0.0,0.0,0.0,8694.0741591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.9208446,0.0,0.0,0.0,0.0,750.9208446,0.0,750.240867982,1504.70291629,737.314495293,0.0,735.533004516,750.540199743,0.0,747.533231767,1741.93573403,0.0,1128.6475783,731.995725263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.96629288,733.097464766,0.0,749.336145802
2010-01-17,1.930734886,0.0852534562212,0.0852534562212,0.0921658986175,0.0,758.008377724,0.0,0.0,0.0,0.0,756.93221993,0.0,0.0,0.0,0.0,756.704571142,0.0,0.0,0.0,0.0,0.0,6064.60739934,0.0,0.0,756.213102658,762.539238651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.725943714,1261.86532162,0.0,0.0,0.0,1010.13278831,0.0,756.704571142,759.201219568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-24,2.717869718,0.0131578947368,0.0131578947368,0.0447368421053,0.0,1392.91054604,700.327937077,694.013839722,694.013839722,698.451055246,1050.07185141,0.0,0.0,0.0,929.45851539,0.0,691.925323803,700.327937077,0.0,0.0,0.0,7679.80268061,0.0,0.0,704.221734421,706.142921329,0.0,698.872888909,0.0,0.0,0.0,0.0,0.0,1386.35384444,703.37122508,0.0,695.062832829,0.0,699.481874937,698.453727102,0.0,1161.87690777,695.478535789,0.0,0.0,0.0,697.716337444,702.946740333,0.0,1397.80200131,0.0,1049.54429293,698.006174778,0.0,0.0,0.0,0.0,695.062832829,702.099306047,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-31,2.813067151,0.0829383886256,0.0829383886256,0.0876777251185,0.0,2089.59115716,697.69399886,0.0,0.0,0.0,2435.23472701,0.0,0.0,0.0,0.0,0.0,0.0,697.69399886,0.0,0.0,0.0,9299.66222348,0.0,0.0,0.0,1047.79876104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.098795962,0.0,0.0,0.0,0.0,0.0,0.0,2552.67731143,696.144637943,0.0,0.0,0.0,1395.87735624,698.114423084,0.0,2444.06943598,0.0,701.071640005,700.859579617,0.0,0.0,698.497852953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-07,2.715611354,0.0795454545455,0.0795454545455,0.0880681818182,0.0,1147.52282067,0.0,762.633373924,762.633373924,0.0,765.499704684,767.852876218,0.0,0.0,1273.3935152,0.0,0.0,0.0,0.0,0.0,760.795703144,6121.20994542,0.0,0.0,0.0,771.809680976,0.0,769.012424506,0.0,0.0,0.0,0.0,0.0,0.0,765.015643412,0.0,0.0,0.0,0.0,0.0,0.0,1528.84199633,1528.68575427,0.0,0.0,0.0,761.713430168,0.0,0.0,1532.08704306,0.0,768.572376069,0.0,0.0,0.0,0.0,0.0,761.483790906,0.0,0.0,0.0,0.0,0.0,0.0,761.483790906
2010-02-14,2.830856334,0.0753768844221,0.0753768844221,0.0804020100503,0.0,740.514693924,0.0,0.0,0.0,734.394588264,746.724738635,0.0,0.0,0.0,744.359546957,0.0,0.0,0.0,0.0,0.0,0.0,5691.44929246,0.0,0.0,0.0,734.836861427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.705991721,0.0,0.0,0.0,0.0,0.0,745.032161005,0.0,1236.22064825,2238.46766926,0.0,0.0,0.0,747.626852484,0.0,0.0,1486.79282383,0.0,0.0,748.187167132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-21,2.566597738,0.0666666666667,0.0666666666667,0.0714285714286,0.0,3148.80013033,0.0,0.0,0.0,705.0664979,1629.93141808,0.0,0.0,0.0,1049.91714108,0.0,0.0,0.0,0.0,0.0,694.28541512,6752.48307623,0.0,705.491108859,695.329267996,697.863121109,0.0,695.74915282,0.0,0.0,0.0,0.0,0.0,2084.10117046,695.123924075,0.0,0.0,2120.30404753,0.0,696.174912772,0.0,1396.79912233,1396.09456783,0.0,0.0,0.0,1051.60725707,0.0,0.0,1865.58439417,0.0,694.813366393,706.128985087,0.0,0.0,0.0,0.0,0.0,693.866918788,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-28,2.772397094,0.0462287104623,0.0462287104623,0.0559610705596,0.0,954.169771558,0.0,0.0,0.0,715.775821504,716.997829194,0.0,0.0,0.0,717.13517349,0.0,0.0,0.0,0.0,0.0,0.0,6685.24058216,0.0,0.0,0.0,718.0823811,0.0,716.371755525,0.0,716.421955543,0.0,0.0,0.0,0.0,717.287526204,719.516963015,0.0,0.0,0.0,0.0,0.0,715.334147377,1671.3780241,0.0,0.0,0.0,713.779336626,0.0,0.0,2873.81584571,0.0,955.611905344,0.0,714.8572275,0.0,717.49071701,0.0,0.0,0.0,0.0,0.0,719.045180512,0.0,0.0,0.0
2010-03-07,2.674019353,0.0234192037471,0.0234192037471,0.03981264637,0.0,1478.04059523,0.0,746.539734739,746.539734739,0.0,748.346790073,0.0,0.0,0.0,744.293151126,0.0,732.736833586,0.0,0.0,0.0,0.0,6923.33242387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.425355353,0.0,745.649813454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.806480339,0.0,744.741385483,1482.72773973,0.0,0.0,0.0,1476.14876581,0.0,0.0,1734.90526218,0.0,732.515930109,732.295159786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.193301285,0.0,0.0,0.0
2010-03-14,2.485555434,0.0,0.0,0.0117370892019,0.0,2251.06242987,0.0,0.0,0.0,0.0,1507.01000362,0.0,0.0,0.0,749.152464334,0.0,0.0,0.0,0.0,0.0,753.601340725,7011.14324525,0.0,0.0,0.0,0.0,0.0,754.20422094,0.0,751.70685597,0.0,0.0,752.839968506,0.0,747.673264135,0.0,0.0,746.321232916,0.0,0.0,0.0,1001.16105716,1505.98655954,0.0,0.0,0.0,754.357158597,0.0,0.0,2257.33300523,0.0,749.256838371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.421633818,0.0,0.0
2010-03-21,2.746919814,0.0,0.0,0.0123203285421,0.0,764.764219183,0.0,0.0,0.0,0.0,762.503586496,0.0,0.0,0.0,0.0,0.0,765.456104786,0.0,756.761817778,0.0,760.971528091,6353.53757062,0.0,0.0,764.183493609,764.821513774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.361253987,0.0,0.0,0.0,0.0,766.84363851,0.0,766.149243426,761.657296143,0.0,0.0,758.590296951,762.005145656,0.0,0.0,1526.15230333,0.0,0.0,754.942132012,0.0,0.0,764.533868515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.761817778,0.0
2010-03-28,2.628545077,0.0,0.0,0.00394736842105,0.0,1227.51342977,0.0,0.0,0.0,0.0,825.860559007,0.0,0.0,0.0,824.447294496,0.0,0.0,0.0,0.0,0.0,0.0,4402.14399744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.747142764,0.0,0.0,0.0,1643.5304756,1245.04133634,0.0,0.0,0.0,0.0,0.0,0.0,2069.72572946,0.0,816.254681418,0.0,0.0,0.0,0.0,0.0,839.619738249,0.0,0.0,0.0,814.780854126,0.0,0.0,0.0
2010-04-04,1.940035273,0.0,0.0,0.00814111261872,0.0,837.195597153,0.0,0.0,0.0,0.0,1683.99594672,0.0,0.0,0.0,1676.09540355,0.0,0.0,0.0,0.0,0.0,0.0,6150.10306552,0.0,0.0,0.0,842.424329019,0.0,840.810673914,0.0,839.45800964,0.0,839.45800964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.3251266,0.0,0.0,0.0,840.810673914,0.0,0.0,1259.82150158,0.0,0.0,836.767099888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-11,1.638976201,0.00138312586445,0.00138312586445,0.00276625172891,0.0,982.721502628,0.0,0.0,0.0,0.0,1470.48398552,0.0,0.0,0.0,740.485291804,0.0,0.0,0.0,0.0,0.0,0.0,7136.1526255,0.0,741.827561215,737.905913023,735.906168001,0.0,739.692610149,0.0,0.0,0.0,0.0,0.0,0.0,737.854977486,0.0,0.0,736.520700854,0.0,0.0,0.0,735.855370501,739.815976988,0.0,0.0,0.0,1109.23530069,0.0,0.0,1479.95170484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,1.820330969,0.0,0.0,0.0062893081761,0.0,1469.07686362,729.953845808,0.0,0.0,0.0,981.824758156,0.0,0.0,0.0,0.0,0.0,0.0,729.953845808,0.0,0.0,0.0,7359.86325315,0.0,0.0,0.0,0.0,0.0,731.937416041,0.0,731.275029239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.470683748,1469.64944458,0.0,0.0,0.0,741.798967206,0.0,0.0,2212.79183413,0.0,1466.97532341,733.265796107,742.919171023,740.236345247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.597009854,0.0,0.0,0.0014367816092,0.0,2401.58944406,0.0,0.0,0.0,0.0,1202.75333337,0.0,0.0,0.0,729.417198904,0.0,0.0,0.0,0.0,0.0,0.0,6498.02948986,0.0,0.0,722.777989756,720.819241816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.34094016,0.0,711.919005987,711.491041451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.385405378,722.777989756,0.0,0.0
2010-05-02,1.617614019,0.0,0.0,0.00569800569801,0.0,1152.64622052,0.0,0.0,0.0,0.0,766.941108368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7154.9114748,0.0,769.794159732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.169631809,0.0,0.0,0.0,0.0,0.0,0.0,771.400095494,0.0,0.0,2043.57339919,0.0,0.0,0.0,770.703676509,0.0,0.0,1151.86046438,0.0,766.904092536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,0.946674655,0.0,0.0,0.00289855072464,0.0,2031.42955865,0.0,0.0,0.0,884.493531448,1456.62413498,0.0,0.0,0.0,884.759784768,0.0,0.0,0.0,0.0,0.0,885.29277259,6399.60575957,0.0,0.0,0.0,1737.69367719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.490111183,0.0,867.098889635,0.0,0.0,865.616892037,0.0,0.0,0.0,0.0,0.0,0.0,2038.61487428,0.0,869.898393012,0.0,865.707373955,0.0,0.0,0.0,0.0,0.0,863.183632758,0.0,865.528532455,0.0,0.0,0.0
